epoch,g_total,g_adv,g_recon,g_fm,g_tv,d_loss,val_l1,val_edge,val_ssim,val_score
80,5.990265,0.838599,4.853571,0.179015,0.118290,1.351838,0.183045,0.353653,0.138394,1.168430
81,5.942127,0.754167,4.888956,0.179790,0.117282,1.427461,0.176508,0.352335,0.118310,1.181516
82,5.978411,0.807279,4.872925,0.179005,0.118798,1.380117,0.177073,0.352632,0.135272,1.165222
83,5.853498,0.654489,4.903402,0.177105,0.119798,1.448078,0.170887,0.336786,0.133833,1.154929
84,5.802323,0.697402,4.812242,0.175755,0.116193,1.350984,0.180639,0.349275,0.114938,1.187947
85,5.878776,0.719013,4.864451,0.177069,0.118833,1.368613,0.178236,0.343415,0.098522,1.199909
86,5.846813,0.704026,4.851798,0.174025,0.119801,1.431247,0.174888,0.340656,0.119062,1.175056
87,5.716919,0.636004,4.790788,0.173928,0.116938,1.422190,0.176546,0.348407,0.130797,1.167692
88,5.764778,0.700466,4.775303,0.172966,0.118238,1.407638,0.173241,0.343393,0.140974,1.152454
89,5.730158,0.703299,4.739558,0.171965,0.117415,1.369176,0.173601,0.339986,0.092929,1.199667
90,5.743273,0.645177,4.807520,0.173975,0.118451,1.472839,0.176244,0.342080,0.117553,1.178419
91,5.804476,0.761891,4.753440,0.173347,0.116496,1.314157,0.178995,0.352784,0.145492,1.156977
92,5.775743,0.727047,4.760520,0.172504,0.117679,1.343632,0.171351,0.331843,0.132454,1.155042
93,5.666631,0.636708,4.742582,0.171889,0.118029,1.400753,0.176282,0.345830,0.127345,1.169978
94,5.649269,0.600240,4.761347,0.172015,0.118633,1.482746,0.168800,0.329688,0.147106,1.137085
95,5.626204,0.638027,4.705790,0.168989,0.115620,1.372777,0.173688,0.340362,0.148733,1.144082
96,5.594451,0.639832,4.672505,0.168888,0.115124,1.341341,0.170493,0.329886,0.137189,1.148764
97,5.594452,0.610769,4.703482,0.167378,0.116540,1.398689,0.178093,0.355054,0.154977,1.147385
98,5.526385,0.555905,4.690132,0.167579,0.115922,1.357034,0.170460,0.337032,0.138353,1.150068
99,5.520441,0.539670,4.700818,0.167075,0.117362,1.395275,0.172708,0.339618,0.125174,1.166401
100,5.539873,0.613322,4.645988,0.167912,0.114777,1.395492,0.170467,0.337443,0.147087,1.141486
101,5.513314,0.548185,4.686405,0.166070,0.118480,1.395459,0.176354,0.342946,0.118306,1.178080
102,5.461490,0.562018,4.621439,0.166020,0.116012,1.320110,0.174615,0.350477,0.156345,1.140937
103,5.468012,0.556540,4.632251,0.166516,0.117785,1.324537,0.177190,0.354055,0.144993,1.156117
104,5.454656,0.561088,4.615404,0.166035,0.116440,1.324635,0.168524,0.333844,0.147257,1.138112
105,5.475284,0.586061,4.610088,0.166761,0.115974,1.313272,0.171490,0.338227,0.140863,1.149006
106,5.506760,0.587496,4.639786,0.166683,0.117815,1.323536,0.172295,0.347394,0.154922,1.138961
107,5.497458,0.585985,4.632783,0.166314,0.116873,1.332941,0.175053,0.359108,0.167139,1.133603
108,5.504974,0.619157,4.603484,0.168996,0.115357,1.331276,0.174387,0.352216,0.167808,1.129855
109,5.480095,0.566783,4.635400,0.165835,0.116641,1.317019,0.171552,0.341823,0.143098,1.148092
110,5.483441,0.596338,4.608743,0.166163,0.116464,1.298937,0.169950,0.339809,0.150509,1.138374
111,5.433681,0.532132,4.624577,0.165258,0.116339,1.364335,0.171953,0.345929,0.152902,1.140126
112,5.441539,0.554902,4.608572,0.166058,0.115912,1.347149,0.175308,0.353704,0.145012,1.154093
113,5.440791,0.559184,4.603770,0.165901,0.115944,1.318114,0.175154,0.346215,0.151501,1.144829
114,5.449235,0.558855,4.613703,0.165007,0.116665,1.296372,0.172787,0.344651,0.143525,1.149891
115,5.417797,0.552852,4.587623,0.165459,0.116537,1.283329,0.170551,0.341728,0.162346,1.127810
116,5.424462,0.526329,4.620125,0.165771,0.117404,1.297623,0.168737,0.340494,0.160539,1.127371
117,5.432232,0.542582,4.610131,0.166723,0.117732,1.304064,0.171191,0.344163,0.147541,1.144108
118,5.433124,0.558124,4.596514,0.166212,0.116670,1.307370,0.170651,0.344666,0.157046,1.134238
119,5.413181,0.538917,4.597589,0.164912,0.117225,1.265850,0.170685,0.345883,0.155910,1.135834
120,5.436307,0.552233,4.606307,0.165581,0.117586,1.278441,0.171936,0.346366,0.158835,1.134329
121,5.423181,0.513491,4.630945,0.166073,0.118540,1.312966,0.170625,0.343226,0.159608,1.131146
122,5.394300,0.541114,4.575822,0.165575,0.116008,1.281469,0.171887,0.344667,0.154598,1.137922
123,5.402476,0.535816,4.588718,0.165772,0.117138,1.322365,0.168573,0.340774,0.168310,1.119533
124,5.387693,0.504313,4.604853,0.166144,0.117245,1.291367,0.170051,0.342830,0.159802,1.130239
125,5.397135,0.508956,4.610244,0.165571,0.118315,1.283644,0.172300,0.347804,0.152991,1.141041
126,5.381535,0.530498,4.574469,0.164984,0.116363,1.234186,0.171264,0.343851,0.153026,1.138586
127,5.378187,0.532337,4.568550,0.165526,0.116047,1.228148,0.170276,0.344251,0.158245,1.132519
128,5.388867,0.495665,4.614909,0.165913,0.117697,1.254986,0.170929,0.346979,0.161897,1.130475
129,5.411294,0.520522,4.611589,0.166474,0.117887,1.247725,0.169373,0.343788,0.156719,1.132980
130,5.362170,0.514199,4.570389,0.165684,0.116228,1.224135,0.169857,0.344095,0.159713,1.130576
131,5.416615,0.503087,4.633564,0.166785,0.119143,1.276949,0.169154,0.343175,0.165693,1.123572
132,5.357991,0.539598,4.542001,0.165144,0.114706,1.183300,0.171738,0.341539,0.145393,1.145883
133,5.358480,0.494967,4.585557,0.165826,0.116870,1.220184,0.171628,0.346213,0.148471,1.144331
134,5.395322,0.501133,4.615170,0.166296,0.118299,1.256813,0.171861,0.347059,0.155288,1.138044
135,5.381186,0.510086,4.593472,0.165536,0.117296,1.231981,0.167538,0.342383,0.166152,1.121220
136,5.376518,0.509823,4.588706,0.165746,0.117481,1.236708,0.168496,0.342400,0.163880,1.124456
137,5.382828,0.527109,4.578738,0.165190,0.116785,1.213206,0.169751,0.343123,0.156469,1.133375
138,5.360807,0.496482,4.586507,0.165710,0.117017,1.220819,0.169979,0.344202,0.162657,1.127793
139,5.361850,0.500068,4.584244,0.165543,0.116890,1.229023,0.170592,0.345085,0.158421,1.132951
140,5.372128,0.504365,4.589295,0.166155,0.116935,1.219141,0.170726,0.343639,0.153130,1.137870
