epoch,g_total,g_adv,g_recon,g_fm,g_tv,g_lap,g_ms,g_stats,g_texstats,g_localstats,d_loss,val_l1,val_edge,val_lap,val_stats,val_texstats,val_localstats,val_ssim,val_score
81,8.526993,0.446741,5.130400,0.191647,0.120856,0.196818,10.096779,0.171471,0.058239,0.082735,1.667367,0.198583,0.335198,0.194015,0.218628,0.107602,0.102537,0.168899,1.325318
82,8.374348,0.420196,5.128969,0.192078,0.121986,0.198591,9.208994,0.172911,0.058786,0.083003,1.718145,0.193706,0.335626,0.193727,0.210104,0.111063,0.101399,0.137313,1.349134
83,8.391534,0.492913,5.089856,0.191876,0.119718,0.195912,9.119081,0.172658,0.063242,0.082091,1.649776,0.179501,0.335455,0.192590,0.191971,0.103981,0.091910,0.236191,1.219229
84,8.416027,0.394346,5.144612,0.192501,0.120301,0.196246,9.544435,0.174965,0.060598,0.084038,1.728038,0.196380,0.337053,0.191572,0.218035,0.104337,0.101660,0.142656,1.346948
85,8.231918,0.428071,5.054562,0.188965,0.120115,0.195021,8.933493,0.164881,0.056218,0.080461,1.669806,0.191582,0.337432,0.191135,0.206095,0.102319,0.098828,0.222474,1.254466
86,8.428671,0.422152,5.135342,0.192246,0.120934,0.195882,9.555397,0.174413,0.056912,0.083234,1.653058,0.187101,0.336950,0.190156,0.190347,0.101652,0.097080,0.172732,1.291106
87,8.361544,0.414252,5.076884,0.192077,0.122174,0.197330,9.626555,0.164192,0.058665,0.080741,1.663619,0.198217,0.340116,0.191069,0.214590,0.099845,0.103110,0.161493,1.327562
88,8.350288,0.429349,5.106216,0.193294,0.121416,0.197075,9.183207,0.170554,0.056392,0.082546,1.705428,0.202127,0.341059,0.190359,0.222873,0.092506,0.105239,0.149287,1.345283
89,8.320000,0.385399,5.070063,0.191005,0.121021,0.196393,9.654428,0.165283,0.053389,0.081023,1.654365,0.185106,0.336795,0.189673,0.187565,0.099084,0.094876,0.184337,1.273765
90,8.362720,0.411160,5.062232,0.192613,0.121941,0.197431,9.715721,0.167026,0.058494,0.080677,1.653844,0.188356,0.336115,0.188954,0.199003,0.100244,0.096317,0.167185,1.300376
91,8.348419,0.391511,5.013741,0.193214,0.120931,0.196406,10.188819,0.159881,0.054153,0.079312,1.649734,0.204277,0.341722,0.188265,0.234561,0.093882,0.107796,0.160940,1.342754
92,8.241695,0.421856,5.010858,0.190843,0.121003,0.196262,9.338917,0.159820,0.055056,0.079045,1.651147,0.192670,0.341873,0.188763,0.204960,0.094741,0.100428,0.175285,1.299938
93,8.120543,0.410017,4.956301,0.189193,0.122779,0.197646,9.166578,0.144377,0.052902,0.075570,1.647429,0.208872,0.340124,0.188425,0.246581,0.094886,0.110302,0.119768,1.395536
94,8.194614,0.371793,4.971702,0.189354,0.120584,0.196333,9.743658,0.153019,0.052260,0.077505,1.663613,0.191422,0.339834,0.187669,0.214393,0.095724,0.100139,0.209275,1.268683
95,8.022367,0.398554,4.898483,0.186215,0.122144,0.197595,9.073225,0.140537,0.053593,0.074160,1.617546,0.190701,0.338190,0.187160,0.204517,0.095430,0.098321,0.242990,1.228306
96,8.216495,0.426000,4.911316,0.187433,0.122027,0.197250,10.026644,0.145653,0.053626,0.075062,1.612774,0.199515,0.342930,0.188284,0.226888,0.084176,0.103928,0.155296,1.333884
97,7.942863,0.336162,4.842664,0.186152,0.121256,0.196515,9.446480,0.134072,0.050434,0.072350,1.630969,0.201302,0.337810,0.186265,0.234516,0.095507,0.105584,0.198743,1.300444
98,8.005945,0.355147,4.857171,0.185850,0.121947,0.196901,9.636223,0.136538,0.048217,0.072673,1.633980,0.214215,0.344519,0.187189,0.248638,0.086818,0.113070,0.196635,1.323285
99,8.155237,0.406523,4.856493,0.185649,0.122209,0.197172,10.301828,0.136373,0.047359,0.072630,1.596503,0.203341,0.344023,0.187428,0.225832,0.080886,0.105570,0.135148,1.356809
100,8.054388,0.391754,4.807405,0.184569,0.121969,0.196734,10.188013,0.127075,0.046764,0.070528,1.605784,0.201019,0.342347,0.187048,0.229736,0.085937,0.104473,0.236347,1.256370
101,8.127548,0.436219,4.792490,0.182636,0.120975,0.195853,10.481903,0.129016,0.050711,0.070550,1.568197,0.204430,0.345176,0.188081,0.228721,0.076905,0.105605,0.151632,1.341257
102,8.047127,0.419595,4.737667,0.182227,0.122738,0.197138,10.568725,0.116030,0.048318,0.067378,1.571122,0.208597,0.344319,0.186622,0.236922,0.085950,0.108987,0.170264,1.335984
103,7.909725,0.363106,4.702994,0.181937,0.121327,0.196694,10.361198,0.111090,0.043816,0.066473,1.574388,0.182022,0.341366,0.186272,0.197625,0.092087,0.094853,0.195323,1.261112
104,7.966785,0.398058,4.704669,0.181109,0.122372,0.197305,10.468145,0.111786,0.047674,0.066217,1.578119,0.202693,0.344097,0.186359,0.229665,0.087071,0.105596,0.159169,1.336460
105,7.926683,0.371296,4.680092,0.180308,0.122872,0.198053,10.609529,0.107079,0.046033,0.065308,1.568179,0.200204,0.343039,0.186551,0.223619,0.084472,0.104170,0.197131,1.291204
106,7.952919,0.376752,4.641189,0.178311,0.123313,0.197918,11.154574,0.099520,0.043372,0.063093,1.568473,0.171520,0.344393,0.186718,0.179036,0.094776,0.087321,0.219589,1.215619
107,7.866078,0.363089,4.589897,0.177406,0.122812,0.197536,11.061850,0.097491,0.043196,0.061670,1.584967,0.189425,0.349406,0.187520,0.203345,0.086502,0.099618,0.212562,1.255493
108,7.828234,0.372853,4.577855,0.175899,0.122664,0.196997,10.931063,0.092056,0.041781,0.060759,1.569272,0.182997,0.346152,0.186836,0.192379,0.085585,0.093095,0.180077,1.271957
109,7.799287,0.331727,4.550852,0.177325,0.123052,0.197367,11.139559,0.094582,0.041896,0.059707,1.594073,0.204330,0.345375,0.186236,0.239576,0.087024,0.106952,0.168933,1.333698
110,7.801237,0.380953,4.517343,0.175846,0.122512,0.197154,11.119980,0.091014,0.041822,0.058836,1.559875,0.180763,0.351269,0.188126,0.187260,0.084543,0.094065,0.206341,1.242297
111,7.800079,0.357675,4.523412,0.175209,0.122226,0.197247,11.201748,0.093145,0.043577,0.059275,1.570173,0.205172,0.350375,0.187850,0.223772,0.078721,0.106479,0.196501,1.296987
112,7.762199,0.326436,4.503363,0.173168,0.123495,0.197662,11.431318,0.083856,0.042572,0.057354,1.594177,0.190372,0.348105,0.186869,0.208087,0.090055,0.097543,0.211113,1.260142
113,7.789475,0.367056,4.473294,0.173120,0.124084,0.198418,11.602398,0.080449,0.038789,0.055891,1.551899,0.186016,0.344952,0.187246,0.198521,0.089317,0.094642,0.209029,1.251209
114,7.726392,0.346120,4.454546,0.172487,0.123028,0.197532,11.489168,0.079155,0.038609,0.055527,1.559909,0.188031,0.345346,0.186744,0.208586,0.083926,0.096525,0.198693,1.266661
115,7.712415,0.359744,4.449543,0.171517,0.123943,0.198629,11.396041,0.073751,0.038458,0.054825,1.582720,0.191942,0.343742,0.186868,0.208596,0.089982,0.097852,0.184694,1.287798
116,7.637794,0.346154,4.399459,0.170535,0.122081,0.196759,11.385551,0.070634,0.041372,0.053697,1.559364,0.176775,0.352511,0.188225,0.184874,0.083096,0.091666,0.196492,1.245333
117,7.659050,0.323833,4.430028,0.170805,0.123125,0.197913,11.434954,0.072898,0.039777,0.054506,1.590585,0.195220,0.349164,0.187862,0.219113,0.084661,0.102191,0.156102,1.325461
118,7.586352,0.312428,4.414709,0.169620,0.123830,0.197941,11.202803,0.068660,0.039436,0.053015,1.578589,0.182841,0.356216,0.189371,0.181038,0.081320,0.093157,0.240152,1.206855
119,7.668277,0.332243,4.415542,0.170083,0.123705,0.197844,11.589458,0.070946,0.038283,0.053360,1.571009,0.203341,0.354662,0.188732,0.228058,0.082880,0.105918,0.194796,1.301214
120,7.762982,0.338368,4.398303,0.168764,0.123868,0.198076,12.380035,0.065692,0.037363,0.052345,1.577900,0.193462,0.345731,0.187711,0.209597,0.080779,0.099256,0.131647,1.339934
121,7.607972,0.334085,4.372020,0.168225,0.122457,0.196878,11.554060,0.067659,0.038455,0.052255,1.565999,0.179715,0.344783,0.187810,0.187629,0.085481,0.090597,0.231971,1.213199
122,7.595512,0.312130,4.394165,0.168441,0.123298,0.197556,11.501000,0.063766,0.037129,0.052317,1.572411,0.187275,0.348881,0.188569,0.204000,0.075158,0.096832,0.178903,1.280786
123,7.672491,0.326487,4.379249,0.168216,0.123550,0.197528,12.030075,0.062855,0.037634,0.051849,1.558111,0.185648,0.348057,0.188515,0.205293,0.077827,0.095848,0.192722,1.266439
124,7.574618,0.329888,4.356454,0.167323,0.123925,0.198035,11.570665,0.058523,0.036967,0.050457,1.568616,0.197137,0.354910,0.189641,0.213398,0.078993,0.100952,0.191691,1.287259
125,7.607030,0.323299,4.351368,0.167184,0.123497,0.197872,11.850112,0.058892,0.039184,0.050254,1.565761,0.185037,0.350792,0.189197,0.199764,0.079520,0.094236,0.186456,1.270055
126,7.617200,0.310755,4.373128,0.167982,0.123973,0.197953,11.848856,0.058253,0.038311,0.050789,1.577957,0.194823,0.353753,0.189821,0.212498,0.087277,0.100801,0.162029,1.317698
127,7.588584,0.331504,4.344323,0.167527,0.123053,0.197622,11.726339,0.059078,0.037740,0.050273,1.564625,0.191154,0.353245,0.190039,0.211077,0.079264,0.099213,0.165404,1.305498
128,7.623377,0.325011,4.353041,0.167501,0.123687,0.198325,11.959507,0.057655,0.035949,0.050389,1.547679,0.189332,0.350508,0.189570,0.207717,0.083214,0.097351,0.167509,1.300281
129,7.614489,0.322114,4.357290,0.167173,0.124576,0.198665,11.892394,0.056821,0.037176,0.050013,1.580742,0.172866,0.355971,0.191306,0.180365,0.083211,0.087828,0.228782,1.206215
130,7.573977,0.318791,4.334399,0.166516,0.123619,0.198003,11.844138,0.055084,0.036740,0.049443,1.564746,0.185007,0.352251,0.190320,0.193665,0.080095,0.094328,0.181510,1.272994
131,7.547054,0.294723,4.338051,0.165937,0.123256,0.197357,11.833175,0.054465,0.036171,0.049424,1.573215,0.180120,0.352307,0.190518,0.185240,0.077590,0.091070,0.208809,1.234146
132,7.664931,0.317321,4.349625,0.166624,0.123874,0.197862,12.351645,0.055736,0.036662,0.049728,1.565019,0.193459,0.351263,0.189735,0.211526,0.082489,0.099092,0.208568,1.265848
133,7.558378,0.308694,4.326888,0.165827,0.122975,0.196915,11.888609,0.055023,0.036673,0.049665,1.566704,0.182221,0.349257,0.190492,0.202549,0.078740,0.093570,0.248058,1.206187
134,7.520412,0.314760,4.334424,0.166283,0.123622,0.197897,11.501554,0.055605,0.038332,0.049601,1.554822,0.179301,0.349877,0.190078,0.185359,0.076909,0.090162,0.228225,1.212682
135,7.627077,0.304926,4.357252,0.167201,0.124037,0.198128,12.085872,0.057740,0.037706,0.050117,1.570654,0.182440,0.353032,0.191102,0.194069,0.075403,0.092689,0.201081,1.248306
136,7.566947,0.302491,4.357574,0.166072,0.123014,0.197507,11.744066,0.056911,0.036876,0.050469,1.570223,0.185354,0.352813,0.191898,0.196823,0.078212,0.093425,0.174819,1.280515
137,7.562316,0.313333,4.339217,0.166668,0.122950,0.197564,11.759805,0.056113,0.037005,0.049983,1.556046,0.189884,0.351842,0.191571,0.208490,0.081090,0.097450,0.195140,1.273262
138,7.552248,0.313560,4.340887,0.165730,0.123194,0.197650,11.697708,0.055780,0.037461,0.049837,1.555199,0.174617,0.352609,0.193261,0.177235,0.071160,0.087282,0.251570,1.177899
139,7.597906,0.311583,4.335709,0.166641,0.123681,0.197963,12.019722,0.056711,0.037437,0.049548,1.558906,0.189816,0.357283,0.192324,0.202563,0.080339,0.098083,0.157989,1.308709
140,7.517669,0.297768,4.326881,0.166155,0.123844,0.198293,11.671744,0.054019,0.036987,0.049071,1.573611,0.180467,0.351488,0.192300,0.189887,0.077876,0.091228,0.220738,1.225095
