epoch,g_total,g_adv,g_recon,d_loss,val_l1,val_edge,val_ssim,val_score
100,6.914519,1.284432,5.630087,0.560404,0.177066,0.359739,0.183833,1.119141
101,6.938006,1.295427,5.642579,0.626983,0.183560,0.382352,0.165057,1.152327
102,6.870261,1.240934,5.629328,0.576579,0.175695,0.359822,0.211483,1.090150
103,6.868524,1.211788,5.656735,0.619420,0.180909,0.380096,0.185466,1.128477
104,6.806354,1.204761,5.601593,0.603187,0.176330,0.345301,0.193500,1.103685
105,6.910958,1.240176,5.670782,0.624679,0.178891,0.375694,0.185920,1.124465
106,6.817926,1.170665,5.647261,0.587630,0.178553,0.375354,0.179674,1.130253
107,6.782362,1.174145,5.608217,0.575746,0.181269,0.350590,0.185456,1.118520
108,6.775623,1.145555,5.630067,0.632374,0.172888,0.339882,0.202057,1.089790
109,6.719623,1.146003,5.573620,0.570916,0.173387,0.374420,0.196007,1.108427
110,6.779241,1.142428,5.636813,0.558979,0.176757,0.369388,0.198831,1.107213
111,6.714451,1.110084,5.604367,0.547400,0.172295,0.348446,0.179461,1.114791
112,6.749183,1.173629,5.575554,0.493248,0.166944,0.337666,0.225084,1.060043
113,6.718455,1.234009,5.484447,0.444112,0.179429,0.355461,0.178836,1.125004
114,6.640815,1.139751,5.501064,0.504774,0.176076,0.334999,0.184477,1.108849
115,6.729897,1.210006,5.519892,0.452248,0.180996,0.355614,0.167465,1.137995
116,6.638285,1.149367,5.488918,0.470269,0.173229,0.336478,0.192717,1.098280
117,6.732865,1.192831,5.540034,0.477796,0.174745,0.348943,0.193695,1.103180
118,6.616549,1.150374,5.466176,0.429967,0.173618,0.339723,0.201241,1.091281
119,6.528364,1.261217,5.267148,0.329929,0.171335,0.347161,0.214773,1.078067
120,6.674870,1.172724,5.502145,0.447689,0.179631,0.355884,0.189803,1.114388
121,6.663909,1.096262,5.567647,0.501800,0.175473,0.359655,0.180049,1.121303
122,6.626606,1.110230,5.516376,0.434713,0.171769,0.350281,0.179732,1.114636
123,6.552958,1.109970,5.442988,0.433924,0.175927,0.343055,0.183153,1.112844
124,6.567236,1.130478,5.436759,0.422638,0.175245,0.346046,0.173792,1.122570
125,6.592839,1.148983,5.443856,0.406779,0.179331,0.356362,0.173233,1.130824
126,6.621332,1.069070,5.552262,0.482404,0.175322,0.349894,0.189534,1.108251
127,6.574765,1.088782,5.485983,0.446512,0.180757,0.364684,0.182492,1.125905
128,6.552357,1.053336,5.499022,0.461004,0.176118,0.354824,0.186536,1.113770
129,6.561645,1.034277,5.527368,0.481518,0.173630,0.347067,0.175921,1.119182
130,6.496119,1.121185,5.374934,0.386230,0.177612,0.354878,0.184662,1.117157
131,6.547950,1.091750,5.456201,0.410678,0.174746,0.350177,0.167160,1.130148
132,6.500058,1.096403,5.403656,0.401668,0.172964,0.351402,0.189527,1.106428
133,6.549347,1.086696,5.462651,0.422430,0.171585,0.355627,0.198178,1.097876
134,6.550414,1.073611,5.476803,0.427410,0.173918,0.357430,0.192615,1.106404
135,6.608981,1.089852,5.519129,0.404589,0.176625,0.356922,0.192298,1.109250
136,6.548433,1.106049,5.442384,0.395810,0.178080,0.351730,0.183640,1.117546
137,6.498736,1.081656,5.417080,0.399061,0.175229,0.353496,0.180931,1.118022
138,6.483909,1.069736,5.414173,0.408314,0.179515,0.352958,0.189302,1.113748
139,6.556496,1.093633,5.462863,0.404306,0.176865,0.354853,0.175575,1.125489
140,6.547405,1.090855,5.456551,0.402534,0.177807,0.356233,0.187081,1.115408
