epoch,g_total,g_adv,g_recon,d_loss,val_l1
173,4.290342,0.451350,3.838992,1.411678,0.160821
174,4.286636,0.452949,3.833688,1.412956,0.160760
175,4.282512,0.462221,3.820291,1.393933,0.160166
176,4.291800,0.451644,3.840156,1.417920,0.160601
177,4.286699,0.450798,3.835901,1.408608,0.161024
178,4.286612,0.437061,3.849551,1.433193,0.159937
179,4.289206,0.445774,3.843431,1.419777,0.160645
180,4.284079,0.434906,3.849173,1.430713,0.161021
181,4.274159,0.430984,3.843176,1.425852,0.160369
182,4.270828,0.424983,3.845845,1.433902,0.160476
183,4.257957,0.404175,3.853783,1.447957,0.161535
184,4.263804,0.421094,3.842710,1.435822,0.160896
185,4.255865,0.398189,3.857676,1.462577,0.160902
186,4.261683,0.406444,3.855239,1.451750,0.160745
187,4.250715,0.397309,3.853406,1.442722,0.160749
188,4.263320,0.411201,3.852119,1.449999,0.160282
189,4.258068,0.386382,3.871686,1.463654,0.162068
190,4.253358,0.396726,3.856633,1.458558,0.160874
191,4.247726,0.401173,3.846554,1.450742,0.161118
192,4.243027,0.392857,3.850170,1.448123,0.160959
193,4.261207,0.399497,3.861710,1.463841,0.161272
194,4.250570,0.385620,3.864950,1.467654,0.161314
195,4.245797,0.375540,3.870257,1.479193,0.161861
196,4.241213,0.370656,3.870557,1.483301,0.161532
197,4.253365,0.387938,3.865427,1.469368,0.161375
198,4.256857,0.385311,3.871546,1.476641,0.161274
199,4.248499,0.371552,3.876947,1.484850,0.161474
200,4.255494,0.379519,3.875975,1.479024,0.161202
