epoch,g_total,g_adv,g_recon,g_fm,g_tv,g_lap,g_ms,g_stats,g_texstats,d_loss,val_l1,val_edge,val_lap,val_stats,val_texstats,val_ssim,val_score
104,7.865354,0.380294,4.689526,0.177514,0.124737,0.199694,10.441177,0.108699,0.051358,1.541951,0.185043,0.353371,0.202212,0.200811,0.070190,0.214657,1.217490
105,7.860570,0.394364,4.625210,0.174870,0.125046,0.199643,10.884686,0.102245,0.048038,1.526520,0.191333,0.374191,0.206197,0.198158,0.077959,0.205944,1.240064
106,7.785833,0.359322,4.650799,0.176471,0.123760,0.198822,10.377997,0.103991,0.052606,1.539084,0.185285,0.363474,0.205965,0.198978,0.073550,0.237977,1.197987
107,7.812331,0.368452,4.620631,0.175112,0.124780,0.199198,10.824851,0.096890,0.047268,1.537420,0.187355,0.362734,0.204612,0.190513,0.061469,0.205280,1.221446
108,7.805398,0.374175,4.563226,0.172684,0.123539,0.198148,11.209368,0.093505,0.048642,1.529801,0.180630,0.363618,0.205338,0.192605,0.077031,0.225012,1.204913
109,7.954035,0.398513,4.602643,0.174401,0.124772,0.198840,11.707754,0.095765,0.048735,1.532111,0.190192,0.365860,0.206613,0.210079,0.069983,0.202506,1.242526
110,7.794427,0.377960,4.510677,0.171442,0.124614,0.199182,11.560436,0.084618,0.047632,1.515627,0.194120,0.363599,0.203550,0.214272,0.072519,0.195380,1.255990
111,7.759982,0.384740,4.543659,0.171964,0.124320,0.199172,10.996206,0.091968,0.046468,1.510992,0.193196,0.361911,0.200802,0.205943,0.064847,0.162877,1.278278
112,7.703894,0.383187,4.496325,0.170414,0.124423,0.198509,11.051718,0.084003,0.048020,1.510503,0.193548,0.357562,0.199070,0.220984,0.076933,0.151505,1.303004
113,7.763252,0.385492,4.495546,0.169600,0.125267,0.199233,11.519204,0.078499,0.044767,1.509480,0.194870,0.351030,0.191455,0.216483,0.074775,0.197358,1.252185
114,7.760949,0.398909,4.478402,0.170000,0.123056,0.197166,11.554380,0.079077,0.044070,1.467624,0.195710,0.356639,0.197730,0.212560,0.071373,0.195933,1.253008
115,7.632187,0.346333,4.490583,0.170156,0.125109,0.199302,10.868427,0.083007,0.046875,1.512742,0.180238,0.356451,0.200846,0.200484,0.073630,0.243034,1.186290
116,7.712120,0.390229,4.456018,0.169663,0.122709,0.197107,11.430199,0.079072,0.045763,1.494003,0.185629,0.362045,0.205269,0.203063,0.071950,0.226674,1.210386
117,7.730848,0.372947,4.489169,0.169520,0.124898,0.199372,11.444361,0.077769,0.043668,1.499395,0.186884,0.363672,0.201152,0.206329,0.078131,0.212068,1.230667
118,7.686293,0.357824,4.479158,0.169548,0.124939,0.199316,11.351557,0.073739,0.043827,1.512996,0.186323,0.354708,0.196930,0.206412,0.078528,0.203094,1.236798
119,7.702349,0.350916,4.461347,0.168862,0.124241,0.198627,11.638728,0.074315,0.044347,1.485328,0.181495,0.361229,0.203996,0.189696,0.073512,0.234872,1.191802
120,7.584228,0.360755,4.410348,0.167535,0.124017,0.199081,11.183380,0.068523,0.046304,1.490043,0.191009,0.360596,0.197499,0.207421,0.076299,0.211827,1.233215
121,7.691347,0.340727,4.443362,0.168671,0.124940,0.199239,11.782660,0.068679,0.046475,1.499744,0.196827,0.367006,0.204966,0.219161,0.077689,0.189214,1.271076
122,7.663955,0.354208,4.421189,0.167823,0.123593,0.198224,11.684551,0.069004,0.046962,1.487922,0.198728,0.372831,0.205385,0.218277,0.073018,0.199516,1.260805
