epoch,g_total,g_adv,g_recon,g_fm,g_tv,g_lap,g_ms,d_loss,val_l1,val_edge,val_lap,val_ssim,val_score
63,8.552931,0.675966,5.202076,0.255068,0.119112,0.199972,9.507852,1.733595,0.198324,0.340708,0.193283,0.141298,1.192817
64,8.547165,0.626225,5.207336,0.261515,0.113746,0.195802,9.704819,1.667025,0.183869,0.334479,0.187977,0.150332,1.166225
65,8.572618,0.742381,5.236047,0.256155,0.118039,0.198090,8.978449,1.495791,0.188260,0.345921,0.196490,0.167357,1.158858
66,8.663039,0.716170,5.218401,0.260926,0.117850,0.199708,9.752372,1.758803,0.185091,0.354185,0.196960,0.169376,1.155489
67,8.698166,0.738661,5.314829,0.264541,0.118533,0.199197,9.129494,1.647133,0.208784,0.354872,0.199300,0.148334,1.201179
68,8.450306,0.663844,5.161629,0.255022,0.116614,0.197309,9.218184,1.482466,0.187562,0.343006,0.198586,0.176680,1.148988
69,8.649879,0.702859,5.253161,0.256124,0.119777,0.200367,9.606758,1.659689,0.218739,0.353345,0.197977,0.144761,1.213939
70,8.601734,0.636387,5.214402,0.259651,0.118516,0.201410,9.900363,1.700226,0.183302,0.341403,0.198177,0.183551,1.137393
71,8.630739,0.667349,5.299167,0.261760,0.119292,0.200885,9.288271,1.579791,0.195358,0.354388,0.208425,0.156505,1.182680
72,8.422140,0.621659,5.140469,0.239773,0.118643,0.199369,9.724324,1.701708,0.213753,0.365104,0.201156,0.164900,1.192278
73,8.418518,0.615405,5.240949,0.247142,0.120033,0.199705,8.918964,1.667372,0.200689,0.344806,0.192635,0.185695,1.151377
74,8.426554,0.614383,5.242838,0.242328,0.117008,0.197056,9.106026,1.762684,0.201973,0.345800,0.192723,0.127555,1.211031
75,8.355110,0.654443,5.129166,0.231551,0.117029,0.196145,9.350592,1.632988,0.213181,0.370711,0.198544,0.186040,1.170774
76,8.393284,0.610007,5.151166,0.241498,0.116754,0.196094,9.556602,1.682203,0.211231,0.349905,0.192271,0.163540,1.184966
77,8.349299,0.586955,5.143429,0.242002,0.114922,0.195241,9.472572,1.619326,0.181604,0.329621,0.185439,0.189493,1.122939
78,8.424834,0.657253,5.232078,0.245295,0.121167,0.200386,8.767055,1.527456,0.196845,0.356723,0.201641,0.185919,1.152846
79,8.635303,0.702006,5.261205,0.246161,0.118778,0.199509,9.674823,1.735893,0.185792,0.356295,0.202125,0.174897,1.152897
80,8.315603,0.528641,5.196967,0.241970,0.112845,0.194790,9.288031,1.687323,0.212573,0.361585,0.197305,0.164980,1.188967
81,8.412701,0.582356,5.235945,0.244472,0.116668,0.197347,9.225676,1.642286,0.197371,0.369107,0.200033,0.140906,1.200298
82,8.366329,0.552875,5.298100,0.240322,0.119861,0.199868,8.740734,1.606609,0.202155,0.399181,0.211271,0.150842,1.205094
83,8.439854,0.621870,5.248571,0.235179,0.119634,0.199931,9.203012,1.677867,0.203937,0.370591,0.212665,0.128392,1.224096
84,8.286119,0.529684,5.227960,0.234800,0.117797,0.198273,8.964587,1.653944,0.196544,0.345868,0.190454,0.163995,1.168382
85,8.319870,0.597952,5.191719,0.233280,0.119185,0.198204,9.007288,1.536885,0.198103,0.349597,0.193600,0.187574,1.148208
86,8.327071,0.584297,5.174241,0.230465,0.120975,0.199585,9.296693,1.583486,0.187543,0.353081,0.201680,0.162092,1.166655
87,8.522063,0.620919,5.340480,0.238795,0.122017,0.200966,9.055337,1.674481,0.182560,0.345219,0.192314,0.204176,1.114737
88,8.240191,0.476769,5.188975,0.232782,0.118868,0.199463,9.292153,1.569608,0.194346,0.387655,0.210287,0.169572,1.175905
89,8.337923,0.507036,5.303637,0.233973,0.122206,0.201616,8.918571,1.655615,0.218705,0.363237,0.203714,0.136033,1.226620
90,8.388971,0.611880,5.149310,0.224737,0.121079,0.200205,9.796298,1.673417,0.196064,0.364541,0.206395,0.143561,1.197649
91,8.310810,0.506263,5.226417,0.232939,0.121022,0.200260,9.300390,1.559751,0.181636,0.355405,0.197880,0.193079,1.128896
92,8.251329,0.499913,5.247495,0.225966,0.123309,0.201992,8.916946,1.659350,0.202203,0.335629,0.191704,0.174523,1.161903
93,8.344099,0.601846,5.184102,0.225643,0.120399,0.199179,9.330527,1.544288,0.184044,0.344191,0.195290,0.191137,1.130096
94,8.229086,0.525463,5.101950,0.228059,0.120127,0.199449,9.568096,1.558540,0.207705,0.372733,0.209899,0.178579,1.177138
95,8.255972,0.571087,5.182322,0.221477,0.124340,0.203397,8.974984,1.612050,0.181975,0.346801,0.198999,0.186977,1.134008
96,8.324823,0.527766,5.223951,0.225210,0.122091,0.202171,9.390681,1.646325,0.189060,0.359358,0.204134,0.187190,1.145188
97,8.246227,0.576393,5.130031,0.216657,0.120848,0.200229,9.371041,1.550646,0.190149,0.364314,0.202040,0.169164,1.164562
98,8.301588,0.545628,5.281909,0.226883,0.126390,0.206055,8.633865,1.562522,0.199380,0.364470,0.205787,0.193358,1.150942
99,8.304693,0.559176,5.183169,0.222188,0.124137,0.203757,9.353617,1.597718,0.183335,0.353449,0.201292,0.205456,1.119022
100,8.233538,0.558051,5.109170,0.216295,0.123038,0.202443,9.519178,1.553180,0.177527,0.352655,0.201902,0.187327,1.131396
101,8.278687,0.562445,5.103509,0.219583,0.121012,0.201164,9.783721,1.491690,0.179847,0.360271,0.203036,0.150323,1.172641
102,8.235781,0.498760,5.216832,0.222319,0.125734,0.204810,9.052784,1.590534,0.181152,0.355147,0.201133,0.211175,1.111403
103,8.224661,0.481648,5.162180,0.221369,0.121862,0.202050,9.520992,1.599026,0.200367,0.366585,0.206052,0.125656,1.220145
104,8.229839,0.501730,5.175850,0.219492,0.123820,0.202967,9.352985,1.571747,0.187112,0.363691,0.201414,0.181525,1.148820
105,8.210752,0.520256,5.179636,0.215723,0.123398,0.201741,9.172077,1.577052,0.193126,0.371935,0.207086,0.178969,1.161024
106,8.163673,0.397478,5.230111,0.220885,0.123761,0.203389,9.210565,1.640877,0.183065,0.364369,0.204538,0.196241,1.131286
107,8.253000,0.518367,5.211676,0.214551,0.124366,0.203541,9.247165,1.642075,0.189743,0.373928,0.207074,0.209296,1.127709
108,8.183956,0.469162,5.150484,0.215575,0.124961,0.203583,9.501577,1.605787,0.182907,0.367438,0.205379,0.180113,1.148165
109,8.095928,0.408335,5.179449,0.216913,0.124582,0.203542,9.101103,1.618640,0.190888,0.349695,0.198692,0.137266,1.193102
110,8.127487,0.453357,5.127253,0.214074,0.123667,0.202602,9.431336,1.584467,0.191501,0.371527,0.207145,0.173032,1.165275
111,8.152029,0.471747,5.208066,0.209928,0.126569,0.205117,8.975695,1.657560,0.189675,0.356587,0.202846,0.164554,1.167434
