epoch,g_total,g_adv,g_recon,d_loss,val_l1
204,4.751261,1.094098,3.657163,1.331382,0.159285
205,4.684586,1.006186,3.678399,1.284791,0.157620
206,4.782433,1.105875,3.676558,1.333344,0.159029
207,4.648337,0.959730,3.688607,1.362231,0.159211
208,4.899146,1.214481,3.684666,1.306485,0.160803
209,4.788403,1.118286,3.670117,1.266860,0.163147
210,4.807829,1.134331,3.673498,1.360660,0.157870
211,4.545043,0.864749,3.680295,1.314789,0.157355
212,4.679576,1.009430,3.670147,1.280709,0.160492
213,4.709663,1.045863,3.663800,1.268095,0.160604
214,4.700429,1.028362,3.672067,1.293854,0.160411
215,4.791033,1.124329,3.666704,1.212867,0.159372
216,4.646737,0.982107,3.664630,1.239491,0.160800
217,4.746601,1.087063,3.659538,1.254781,0.160083
218,4.554372,0.890640,3.663732,1.239385,0.159963
219,4.766079,1.094008,3.672071,1.295601,0.158810
220,4.555313,0.886599,3.668714,1.291548,0.161134
221,4.743227,1.094649,3.648577,1.247928,0.160252
222,4.593867,0.935284,3.658582,1.264274,0.157796
223,4.681189,1.016704,3.664485,1.249695,0.157665
224,4.609538,0.955424,3.654114,1.208042,0.158551
225,4.665148,1.011627,3.653520,1.249823,0.158457
226,4.503863,0.849250,3.654613,1.245440,0.159509
227,4.517466,0.865799,3.651667,1.247577,0.158108
228,4.689474,1.040648,3.648826,1.221444,0.158354
229,4.611548,0.966912,3.644636,1.235578,0.159967
230,4.607005,0.960932,3.646073,1.209375,0.159464
231,4.671254,1.016842,3.654412,1.200887,0.161075
232,4.764596,1.113910,3.650686,1.198050,0.159393
233,4.639255,0.991443,3.647811,1.206378,0.158086
234,4.691207,1.047763,3.643444,1.178967,0.158466
235,4.616111,0.971494,3.644617,1.151518,0.159542
236,4.706203,1.056495,3.649708,1.204128,0.159955
237,4.609465,0.956708,3.652757,1.176480,0.158981
238,4.614044,0.970922,3.643122,1.161689,0.159315
239,4.635498,1.005405,3.630093,1.173784,0.159901
240,4.517117,0.874934,3.642182,1.166101,0.159058
241,4.603765,0.970472,3.633292,1.157752,0.159964
242,4.553627,0.917614,3.636013,1.124484,0.157831
243,4.776792,1.136752,3.640039,1.156942,0.157685
244,4.565589,0.929001,3.636588,1.152865,0.159713
245,4.595996,0.951180,3.644816,1.127543,0.159065
246,4.642664,1.011632,3.631032,1.122878,0.158452
247,4.566415,0.935007,3.631407,1.124434,0.159855
248,4.545245,0.918535,3.626709,1.124370,0.159240
249,4.676604,1.041027,3.635577,1.112454,0.158263
250,4.585466,0.948909,3.636557,1.100526,0.158515
251,4.614207,0.985558,3.628649,1.103808,0.159152
252,4.522955,0.899853,3.623102,1.089412,0.158306
253,4.568213,0.938227,3.629987,1.108173,0.157962
254,4.646653,1.013971,3.632682,1.115185,0.158628
255,4.450512,0.832025,3.618487,1.107548,0.158978
256,4.508106,0.888743,3.619363,1.107678,0.156935
257,4.631336,1.003919,3.627417,1.118271,0.157704
258,4.509768,0.888545,3.621223,1.098103,0.157883
259,4.519086,0.894252,3.624834,1.093853,0.158534
260,4.600841,0.974470,3.626371,1.099607,0.157479
261,4.628748,1.006294,3.622454,1.067640,0.158317
262,4.577504,0.959277,3.618227,1.041156,0.158743
263,4.723156,1.095796,3.627360,1.060250,0.159627
264,4.619344,0.989028,3.630317,1.080858,0.158766
265,4.540218,0.927431,3.612787,1.063744,0.158665
266,4.532259,0.915626,3.616633,1.093999,0.158591
267,4.512261,0.897954,3.614307,1.060388,0.158858
268,4.528082,0.904726,3.623356,1.071530,0.157140
