epoch,g_total,g_adv,g_recon,g_fm,d_loss,val_l1,val_edge,val_ssim,val_score
98,7.852481,2.255200,4.547572,0.262427,0.000002,0.199768,0.292903,0.088613,1.213671
99,7.851493,2.258753,4.544729,0.262003,0.000002,0.200254,0.292671,0.097236,1.205453
100,7.847627,2.259508,4.541320,0.261700,0.000006,0.200059,0.293499,0.092093,1.210690
101,7.835140,2.256279,4.532865,0.261499,0.000003,0.198402,0.295114,0.092608,1.209084
102,7.834808,2.254966,4.535667,0.261044,0.000004,0.199655,0.292149,0.101255,1.200652
103,7.832090,2.259150,4.528935,0.261001,0.000002,0.195957,0.290758,0.098867,1.198855
104,7.820604,2.264447,4.511950,0.261052,0.000002,0.200447,0.293241,0.093385,1.209697
105,7.819177,2.259811,4.515985,0.260845,0.000002,0.198189,0.295205,0.101180,1.200331
106,7.811603,2.256219,4.514064,0.260330,0.000001,0.199582,0.291161,0.100308,1.201180
107,7.814525,2.254284,4.519836,0.260101,0.000002,0.198973,0.294195,0.093541,1.208400
108,7.801747,2.251418,4.510307,0.260005,0.000002,0.197822,0.292257,0.098815,1.201297
109,7.799861,2.253135,4.507116,0.259902,0.000002,0.198357,0.291367,0.098499,1.201836
110,7.801558,2.255908,4.506926,0.259681,0.000001,0.199488,0.292939,0.094456,1.207561
111,7.784090,2.255544,4.490921,0.259406,0.000004,0.199858,0.292957,0.092607,1.209786
112,7.788340,2.256712,4.494020,0.259402,0.000003,0.198850,0.292798,0.100362,1.200967
113,7.784523,2.253383,4.494495,0.259161,0.000003,0.198279,0.291333,0.098904,1.201341
114,7.785668,2.256352,4.492480,0.259209,0.000002,0.198494,0.292594,0.099377,1.201525
115,7.777844,2.254268,4.487561,0.259004,0.000001,0.198356,0.293448,0.100803,1.200260
116,7.777245,2.263119,4.477696,0.259107,0.000001,0.198724,0.293879,0.095587,1.205995
117,7.773360,2.257604,4.480078,0.258920,0.000002,0.197999,0.291543,0.101458,1.198580
118,7.771050,2.259286,4.477287,0.258619,0.000001,0.197473,0.289870,0.098701,1.200227
119,7.769006,2.256265,4.478460,0.258570,0.000002,0.200090,0.290991,0.090887,1.211051
120,7.772574,2.256665,4.481985,0.258481,0.000001,0.198474,0.290841,0.097898,1.202370
121,7.768519,2.255491,4.478860,0.258542,0.000002,0.198447,0.291299,0.097217,1.203185
122,7.761708,2.256985,4.471283,0.258360,0.000002,0.197997,0.291899,0.097198,1.202964
123,7.759764,2.258589,4.468234,0.258235,0.000001,0.197848,0.291008,0.100823,1.198877
124,7.760174,2.256248,4.470715,0.258303,0.000007,0.196737,0.290164,0.101599,1.196696
125,7.755904,2.259216,4.462947,0.258435,0.000000,0.197321,0.291003,0.101235,1.197936
126,7.754720,2.258927,4.462887,0.258227,0.000001,0.198589,0.291800,0.094541,1.206178
127,7.751198,2.258598,4.459901,0.258175,0.000003,0.197371,0.290908,0.099497,1.199691
128,7.760619,2.259588,4.468433,0.258149,0.000001,0.198423,0.291527,0.099028,1.201429
129,7.756104,2.260161,4.462234,0.258427,0.000001,0.196478,0.290556,0.105078,1.193095
130,7.754421,2.260473,4.461514,0.258109,0.000001,0.197814,0.291093,0.102400,1.197297
131,7.755340,2.261416,4.460459,0.258366,0.000001,0.196739,0.291446,0.101102,1.197643
132,7.756531,2.264071,4.459944,0.258129,0.000002,0.197559,0.291646,0.098844,1.200791
133,7.754972,2.261267,4.462026,0.257920,0.000001,0.196955,0.290224,0.102520,1.196013
134,7.751268,2.260684,4.458330,0.258064,0.000002,0.197888,0.291833,0.098050,1.201979
135,7.745049,2.258991,4.454615,0.257861,0.000000,0.197608,0.291671,0.099084,1.200609
136,7.743039,2.256014,4.456183,0.257710,0.000002,0.197210,0.290696,0.103011,1.195942
137,7.755444,2.260176,4.464031,0.257809,0.000004,0.197709,0.291427,0.100035,1.199673
138,7.750682,2.254310,4.464425,0.257987,0.000001,0.197196,0.290678,0.100715,1.198218
139,7.748933,2.257419,4.460374,0.257785,0.000001,0.198527,0.292698,0.097714,1.203258
140,7.750741,2.256615,4.462481,0.257911,0.000004,0.197044,0.291009,0.100336,1.198562
