epoch,g_total,g_adv,g_recon,g_fm,g_tv,g_lap,g_ms,g_stats,g_texstats,d_loss,val_l1,val_edge,val_lap,val_stats,val_texstats,val_ssim,val_score
52,9.179840,0.901445,5.306462,0.247010,0.112787,0.193543,9.319087,0.194368,0.077532,1.599569,0.198843,0.352533,0.192465,0.225081,0.080088,0.143716,1.317515
53,8.913214,0.776140,5.133306,0.229529,0.113140,0.193778,9.975958,0.184967,0.076143,1.568658,0.198447,0.348016,0.189323,0.217307,0.081670,0.152945,1.303368
54,8.865881,0.729458,5.210924,0.240939,0.112778,0.194140,9.155301,0.187680,0.081096,1.600717,0.193004,0.342732,0.190675,0.219936,0.091265,0.173801,1.283007
55,9.034669,0.904503,5.215120,0.235855,0.116680,0.195149,9.283854,0.181523,0.074092,1.438040,0.232072,0.366723,0.197937,0.288726,0.068705,0.109663,1.414116
56,9.014629,0.783042,5.250125,0.239340,0.114782,0.195352,9.497595,0.197038,0.075552,1.565992,0.216409,0.355418,0.193177,0.246851,0.065890,0.135280,1.347269
57,8.902502,0.760603,5.248541,0.239385,0.113756,0.193569,9.098330,0.180710,0.074567,1.598723,0.185953,0.342146,0.189014,0.212535,0.084534,0.176196,1.265688
58,8.840000,0.767837,5.111831,0.230696,0.115410,0.194515,9.640976,0.178312,0.085135,1.591675,0.184982,0.340506,0.190146,0.196031,0.086376,0.184640,1.248988
59,9.124296,0.929930,5.259949,0.241955,0.116988,0.195675,9.289062,0.185446,0.068700,1.407370,0.200178,0.345767,0.200803,0.262623,0.083739,0.157057,1.326903
60,8.917624,0.747964,5.199346,0.241839,0.117846,0.197451,9.411579,0.190614,0.073986,1.531790,0.221923,0.368325,0.197062,0.237891,0.068481,0.171405,1.316780
61,9.010010,0.773848,5.256254,0.247742,0.116286,0.196991,9.411877,0.187926,0.071281,1.545891,0.199572,0.386555,0.203213,0.203285,0.068026,0.153976,1.298939
62,8.925084,0.854827,5.159610,0.230756,0.116664,0.194916,9.456467,0.175472,0.069125,1.393467,0.203157,0.361989,0.199143,0.210693,0.067428,0.188457,1.266102
63,8.870859,0.759813,5.159844,0.233109,0.116766,0.195725,9.593096,0.182440,0.070210,1.567536,0.194688,0.365540,0.202300,0.220588,0.067074,0.152051,1.300125
64,8.857501,0.761407,5.166054,0.231727,0.117102,0.196152,9.512858,0.179747,0.068340,1.423337,0.188247,0.359147,0.200913,0.208575,0.064478,0.142615,1.294229
65,8.864482,0.666157,5.257910,0.231648,0.116827,0.196262,9.503207,0.184410,0.072735,1.698493,0.197199,0.353199,0.190336,0.205464,0.063472,0.180125,1.260166
66,8.865795,0.762976,5.156638,0.227110,0.114780,0.193985,9.655184,0.185451,0.073278,1.550950,0.220672,0.354588,0.194117,0.244677,0.066643,0.169186,1.317010
67,8.798574,0.662271,5.178555,0.230246,0.118169,0.197848,9.648796,0.182507,0.071501,1.589448,0.192926,0.372385,0.201237,0.199847,0.060937,0.162974,1.274693
68,8.910659,0.784893,5.157687,0.233066,0.118342,0.196118,9.789427,0.174555,0.068213,1.402811,0.207436,0.369007,0.201705,0.208211,0.066588,0.135039,1.323922
69,8.815580,0.773867,5.151875,0.219129,0.118749,0.196139,9.634583,0.165662,0.067533,1.466465,0.196720,0.365508,0.199004,0.205322,0.063155,0.190974,1.252714
70,8.821483,0.641242,5.254667,0.233339,0.118037,0.198722,9.393603,0.184034,0.065327,1.714806,0.217605,0.362615,0.192821,0.244297,0.078712,0.166225,1.324512
71,8.668217,0.680813,5.131222,0.221156,0.116118,0.194839,9.324780,0.172504,0.067829,1.424033,0.193102,0.357637,0.195315,0.205626,0.067863,0.184588,1.255995
72,8.734062,0.610467,5.237957,0.228388,0.119195,0.198657,9.306339,0.179007,0.061300,1.603482,0.219502,0.359891,0.195982,0.249137,0.067986,0.161071,1.328288
73,8.833160,0.729207,5.130390,0.225701,0.117622,0.195865,9.969345,0.175551,0.068067,1.515764,0.187091,0.352019,0.195578,0.197513,0.068887,0.183010,1.247117
74,8.752004,0.683389,5.189539,0.219572,0.120562,0.199394,9.410016,0.176219,0.066657,1.608752,0.187781,0.349561,0.198498,0.196352,0.067167,0.184000,1.245489
75,8.706321,0.657036,5.149324,0.216850,0.120736,0.200710,9.612215,0.174497,0.064965,1.552618,0.208615,0.349281,0.194440,0.239566,0.075714,0.190568,1.285121
