epoch,g_total,g_adv,g_recon,g_fm,g_tv,g_lap,g_ms,d_loss,val_l1,val_edge,val_lap,val_ssim,val_score
115,9.418673,0.872845,4.899336,0.181895,0.119623,0.191043,10.190594,0.685062,0.169580,0.358583,0.197466,0.175754,1.134656
116,9.410303,0.874668,4.858922,0.180257,0.117899,0.188962,10.311363,0.655298,0.170847,0.352618,0.195940,0.185501,1.124449
117,9.416842,0.851751,4.871865,0.180331,0.119700,0.191220,10.353249,0.691260,0.173488,0.355824,0.197811,0.169451,1.144436
118,9.409773,0.848972,4.896183,0.181159,0.118693,0.190049,10.260447,0.667337,0.177399,0.364940,0.201225,0.176814,1.144002
119,9.419795,0.857924,4.878746,0.180682,0.119211,0.190570,10.321480,0.654966,0.171906,0.359319,0.199484,0.184077,1.129513
120,9.413375,0.863464,4.862696,0.180480,0.118977,0.190425,10.337042,0.639936,0.174911,0.365376,0.201229,0.168377,1.150039
121,9.429715,0.875968,4.877921,0.180281,0.119737,0.191099,10.296071,0.625093,0.171165,0.356668,0.196915,0.190476,1.120943
122,9.414850,0.871603,4.859282,0.180610,0.118556,0.190198,10.327044,0.617473,0.173704,0.355459,0.197565,0.159337,1.154606
123,9.406313,0.852773,4.863398,0.180313,0.119406,0.190965,10.344578,0.639409,0.172757,0.357589,0.198257,0.193069,1.120596
124,9.396692,0.845988,4.865857,0.180029,0.119328,0.190569,10.330389,0.639581,0.174591,0.348879,0.195514,0.180513,1.132284
125,9.407694,0.865121,4.829259,0.180088,0.119116,0.190318,10.426422,0.606471,0.177078,0.356167,0.198203,0.173076,1.144606
126,9.433576,0.875287,4.811083,0.179828,0.118547,0.190053,10.542490,0.595433,0.173764,0.354232,0.199056,0.190635,1.123646
127,9.406393,0.869897,4.838243,0.180091,0.118775,0.190258,10.376785,0.610234,0.173647,0.356617,0.198969,0.171771,1.142839
128,9.382696,0.849184,4.846054,0.179248,0.118839,0.190365,10.344433,0.607065,0.170637,0.355487,0.198479,0.186889,1.124313
129,9.392499,0.844945,4.846852,0.179910,0.119478,0.190794,10.382588,0.603763,0.170731,0.353242,0.198378,0.187849,1.122963
130,9.432114,0.849189,4.830209,0.179368,0.118584,0.190270,10.562037,0.600491,0.170919,0.351803,0.196413,0.181648,1.128377
131,9.399572,0.847543,4.835581,0.179495,0.119294,0.190412,10.439217,0.598217,0.173714,0.354272,0.197862,0.184018,1.129802
132,9.405037,0.855253,4.825751,0.179363,0.118824,0.190104,10.467085,0.596267,0.169538,0.353404,0.197857,0.203943,1.105525
133,9.402973,0.855520,4.804237,0.179105,0.118180,0.189992,10.533418,0.592091,0.170805,0.352295,0.197828,0.187496,1.123008
134,9.409475,0.850756,4.819624,0.179394,0.118779,0.190380,10.515797,0.592538,0.175208,0.355253,0.197906,0.173748,1.141777
135,9.398602,0.851699,4.814429,0.178771,0.119262,0.190529,10.495692,0.597044,0.171254,0.352508,0.197979,0.179007,1.132041
136,9.380454,0.840746,4.824966,0.178876,0.118946,0.190107,10.438435,0.602527,0.173959,0.353244,0.198102,0.176190,1.137754
137,9.401451,0.851303,4.837563,0.179524,0.119021,0.190788,10.424538,0.589638,0.170512,0.353222,0.197328,0.180522,1.129700
138,9.409786,0.862920,4.813003,0.179160,0.118611,0.189966,10.501738,0.581374,0.171702,0.353663,0.197683,0.173354,1.138270
139,9.428577,0.874382,4.825714,0.179156,0.119029,0.190362,10.481491,0.564404,0.174334,0.354506,0.197481,0.185771,1.128583
140,9.418314,0.850641,4.847930,0.179926,0.118981,0.190643,10.447147,0.577262,0.173166,0.354120,0.197889,0.179985,1.133267
