epoch,g_total,g_adv,g_recon,g_fm,g_tv,g_lap,g_ms,g_stats,g_texstats,g_localstats,d_loss,val_l1,val_edge,val_lap,val_stats,val_texstats,val_localstats,val_ssim,val_score
62,9.795996,0.429071,5.818956,0.198356,0.116036,0.192266,8.622101,0.189166,0.071181,0.083916,1.767737,0.174523,0.329232,0.285168,0.180220,0.114793,0.084425,0.198417,1.265007
63,9.797309,0.381629,5.875472,0.197357,0.116560,0.191622,8.589062,0.194134,0.069577,0.084695,1.759446,0.174892,0.331495,0.277213,0.183890,0.106772,0.085451,0.214419,1.246750
64,9.764723,0.429929,5.885866,0.198313,0.116175,0.191823,8.273768,0.195741,0.068776,0.085573,1.720995,0.171851,0.333328,0.270535,0.177936,0.100168,0.083845,0.211876,1.238675
65,9.786228,0.455601,5.796573,0.196266,0.117701,0.193828,8.591407,0.188380,0.068222,0.083285,1.702484,0.175385,0.334948,0.264134,0.195657,0.102349,0.086701,0.186065,1.277527
66,9.588032,0.383437,5.820967,0.198067,0.116821,0.192454,8.082735,0.191473,0.066055,0.083932,1.740317,0.172864,0.332380,0.257440,0.181111,0.101583,0.084621,0.209761,1.241526
67,9.787136,0.472962,5.852160,0.201267,0.119033,0.193317,8.322054,0.190361,0.066712,0.084566,1.675011,0.188265,0.334239,0.258438,0.219421,0.107708,0.094529,0.121797,1.370833
68,9.641757,0.366775,5.896722,0.197638,0.116967,0.193676,8.007644,0.202129,0.068141,0.086590,1.791397,0.172307,0.332234,0.248284,0.183416,0.098529,0.084471,0.148199,1.300257
69,9.830975,0.478877,5.838261,0.198628,0.114887,0.189419,8.514678,0.192126,0.069639,0.084577,1.669877,0.175007,0.333813,0.249488,0.191996,0.108281,0.086682,0.173708,1.287408
70,9.948458,0.495757,5.915602,0.201531,0.117347,0.191417,8.548110,0.196190,0.069873,0.085282,1.698948,0.178983,0.331033,0.246032,0.203190,0.105028,0.090550,0.206390,1.263265
71,9.779982,0.437718,5.875751,0.200177,0.115458,0.190225,8.338805,0.194837,0.068022,0.085076,1.683916,0.174551,0.335950,0.237638,0.188030,0.101280,0.086707,0.204997,1.248711
72,9.822128,0.516037,5.801368,0.198596,0.117172,0.191524,8.535904,0.180701,0.064407,0.082877,1.635028,0.189098,0.335661,0.232722,0.214688,0.096592,0.096463,0.136490,1.345989
73,9.601611,0.411853,5.745361,0.197674,0.117042,0.191011,8.332111,0.183698,0.065241,0.081459,1.713390,0.170347,0.334737,0.230134,0.176277,0.095916,0.084288,0.198404,1.240374
74,9.692920,0.419819,5.842282,0.202080,0.116993,0.191293,8.230404,0.189241,0.067089,0.083919,1.708591,0.172756,0.335212,0.227199,0.195292,0.085354,0.086154,0.186747,1.258759
75,9.899881,0.442507,5.839750,0.197666,0.117457,0.191389,8.870358,0.190315,0.067023,0.084001,1.674839,0.178022,0.337072,0.226239,0.193573,0.096618,0.090012,0.092372,1.364921
76,9.761682,0.455935,5.837057,0.198701,0.116173,0.189174,8.417414,0.183488,0.063794,0.083724,1.638912,0.174891,0.338524,0.218570,0.201414,0.091598,0.087869,0.169986,1.282966
77,9.704192,0.410003,5.832900,0.196269,0.115615,0.188837,8.388130,0.186636,0.065841,0.083934,1.715320,0.176654,0.333904,0.217728,0.203382,0.100462,0.090307,0.171798,1.288225
78,9.872616,0.507236,5.861444,0.199424,0.117458,0.190912,8.486192,0.188427,0.068391,0.084435,1.655663,0.174935,0.335973,0.214583,0.193509,0.102521,0.088436,0.140739,1.312722
79,9.762531,0.441962,5.788157,0.197598,0.116091,0.189847,8.619083,0.184506,0.067278,0.082827,1.688228,0.165878,0.337219,0.212876,0.179886,0.091176,0.083551,0.217426,1.212914
80,9.693569,0.449925,5.754811,0.197869,0.117293,0.190506,8.506950,0.178055,0.063822,0.081473,1.661882,0.177544,0.336591,0.209378,0.207520,0.102965,0.091471,0.166050,1.297250
81,9.764704,0.473465,5.816683,0.195568,0.118194,0.191164,8.441645,0.181263,0.067304,0.082152,1.667233,0.164732,0.336195,0.206774,0.161635,0.085152,0.082020,0.243313,1.172730
