epoch,g_total,g_adv,g_recon,g_fm,g_tv,g_lap,g_ms,g_stats,d_loss,val_l1,val_edge,val_lap,val_stats,val_ssim,val_score
68,10.164962,0.875024,5.782344,0.227773,0.124619,0.202708,8.979027,0.124553,1.503807,0.156250,0.329466,0.218060,0.111445,0.207217,1.147211
69,10.074482,0.934500,5.649508,0.227527,0.121611,0.201246,8.953764,0.118892,1.342749,0.169791,0.340710,0.193916,0.131971,0.167336,1.207955
70,10.429651,1.189098,5.693151,0.230870,0.128448,0.209338,9.082144,0.118487,1.122691,0.179016,0.358507,0.200644,0.132822,0.189086,1.201518
71,10.513632,1.364667,5.622513,0.229963,0.125824,0.207852,9.031600,0.117084,1.143151,0.178086,0.394453,0.224568,0.120418,0.155788,1.240810
72,10.265049,1.088371,5.788101,0.225707,0.124945,0.201072,8.613853,0.120924,1.465503,0.175964,0.345012,0.194817,0.137618,0.192222,1.193760
73,10.247841,1.168389,5.614401,0.224776,0.123827,0.200842,8.896670,0.115151,1.361280,0.186877,0.351028,0.200684,0.165396,0.183789,1.232736
74,10.187411,1.092007,5.612967,0.224133,0.122991,0.202148,8.944757,0.117128,1.183872,0.166876,0.357145,0.210153,0.110978,0.198687,1.169250
75,10.519123,1.300218,5.735917,0.231987,0.128803,0.206652,8.871629,0.119400,1.117382,0.176927,0.368770,0.203279,0.130084,0.196941,1.192774
76,10.060569,1.019523,5.644976,0.219164,0.121441,0.195657,8.729507,0.113297,1.382905,0.162485,0.329994,0.198989,0.128256,0.194324,1.170810
77,10.111897,0.940530,5.694944,0.222139,0.125002,0.199335,8.922306,0.123880,1.442425,0.159985,0.334616,0.192491,0.105601,0.209953,1.138063
78,10.121644,1.030370,5.652472,0.221189,0.120892,0.196946,8.842930,0.116817,1.388228,0.166595,0.341914,0.194578,0.116214,0.190619,1.172460
79,9.924810,0.843012,5.669666,0.218759,0.119729,0.192880,8.775200,0.120165,1.359328,0.174944,0.357424,0.197565,0.134756,0.200097,1.186455
80,10.313978,1.233175,5.603398,0.221254,0.124518,0.201227,8.957142,0.114011,1.251351,0.176039,0.368417,0.206307,0.121769,0.172508,1.212168
81,10.068630,0.990049,5.665865,0.217882,0.121042,0.194921,8.762630,0.122238,1.458846,0.178274,0.372651,0.200359,0.134152,0.197895,1.195508
82,9.867277,0.724596,5.741317,0.217623,0.121490,0.194044,8.735058,0.120884,1.460103,0.197544,0.361061,0.196186,0.169362,0.154138,1.276092
83,9.852001,0.774290,5.655818,0.213212,0.121066,0.193338,8.842471,0.117329,1.397050,0.186518,0.370235,0.196870,0.147494,0.174183,1.233939
84,9.885316,0.735822,5.678974,0.217172,0.118906,0.192076,8.963888,0.125232,1.355102,0.173153,0.366464,0.198699,0.128310,0.213238,1.169803
85,9.710854,0.749551,5.640355,0.214997,0.118940,0.192390,8.496235,0.119330,1.331756,0.185738,0.365769,0.200107,0.144103,0.158376,1.247010
86,9.749582,0.738460,5.654919,0.210974,0.121841,0.194626,8.624984,0.118044,1.336248,0.170753,0.333588,0.192697,0.134950,0.185726,1.190524
87,9.858845,0.795807,5.675212,0.211878,0.120754,0.194535,8.726003,0.118378,1.317581,0.171079,0.342692,0.199939,0.131256,0.200659,1.177694
88,9.945797,0.874320,5.620042,0.213587,0.123170,0.196338,8.919855,0.117998,1.355531,0.162625,0.339805,0.195822,0.124249,0.232368,1.131514
89,9.842914,0.758901,5.632183,0.211665,0.122000,0.195117,8.943908,0.116349,1.317843,0.164217,0.343547,0.206259,0.117971,0.241109,1.124478
90,10.122224,0.946206,5.748433,0.219128,0.120782,0.195580,8.789127,0.125990,1.317188,0.171942,0.372782,0.205426,0.113086,0.195565,1.180413
91,9.720803,0.683883,5.620674,0.208922,0.121607,0.194970,8.834902,0.117761,1.396011,0.174299,0.355998,0.196429,0.127982,0.230965,1.150251
92,9.804060,0.739070,5.643676,0.209879,0.121482,0.194612,8.848066,0.117988,1.324069,0.168324,0.357885,0.200137,0.108700,0.223969,1.141194
93,9.736759,0.729185,5.569077,0.207099,0.121812,0.194999,8.922386,0.116528,1.368837,0.168486,0.340031,0.198186,0.125780,0.237650,1.133767
94,9.714802,0.622706,5.685254,0.209184,0.122162,0.195399,8.793857,0.119334,1.419012,0.158995,0.324557,0.187494,0.132905,0.207404,1.152494
95,9.676653,0.663540,5.560216,0.205439,0.120144,0.193509,8.988780,0.116187,1.369434,0.181026,0.354259,0.193227,0.139418,0.186710,1.206787
96,9.682279,0.644998,5.647995,0.210861,0.119282,0.193541,8.737019,0.119779,1.345173,0.176592,0.374519,0.207642,0.128406,0.200331,1.190501
97,9.694248,0.679621,5.635285,0.205307,0.123345,0.195829,8.737082,0.114253,1.319792,0.190849,0.377517,0.203105,0.149231,0.181529,1.235293
98,9.600473,0.636423,5.538449,0.204912,0.118629,0.192152,8.919506,0.113178,1.341320,0.159656,0.334528,0.190978,0.125534,0.245172,1.114004
99,9.579207,0.635318,5.594936,0.206180,0.120714,0.193712,8.648074,0.113193,1.266844,0.175192,0.359265,0.197047,0.126978,0.171446,1.210899
100,9.734578,0.637382,5.609823,0.207711,0.118818,0.193036,9.088068,0.118298,1.298049,0.173957,0.347671,0.195222,0.129476,0.207796,1.171947
101,9.606541,0.630591,5.619281,0.204812,0.119500,0.193423,8.681227,0.113704,1.271382,0.179288,0.360375,0.199586,0.132839,0.183079,1.207863
102,9.711046,0.656489,5.631282,0.204898,0.120681,0.194858,8.879440,0.117853,1.303313,0.170542,0.350178,0.196357,0.135446,0.210516,1.170237
103,9.710806,0.656424,5.627235,0.204284,0.122568,0.196123,8.898008,0.114992,1.239846,0.166720,0.357601,0.201160,0.109515,0.234930,1.129367
104,9.659836,0.684141,5.490121,0.202451,0.119958,0.193544,9.128819,0.111770,1.187690,0.158244,0.331983,0.191303,0.123935,0.220833,1.135560
105,9.572231,0.649555,5.534088,0.201240,0.120192,0.194941,8.801652,0.112520,1.243516,0.171586,0.353853,0.199404,0.122298,0.195403,1.180154
106,9.621391,0.679004,5.496404,0.201826,0.119291,0.193737,8.998601,0.112032,1.202689,0.176861,0.373199,0.201000,0.123378,0.190270,1.195558
107,9.595676,0.687245,5.553684,0.199726,0.121102,0.194791,8.713291,0.107915,1.183173,0.168935,0.339285,0.192635,0.133194,0.155573,1.218926
108,9.616120,0.662681,5.570865,0.202550,0.119573,0.193837,8.787687,0.110722,1.200357,0.179478,0.357758,0.200698,0.139317,0.201286,1.193543
109,9.593920,0.661496,5.518085,0.200023,0.120961,0.194798,8.897244,0.111539,1.206146,0.169355,0.343135,0.194097,0.124240,0.172686,1.198069
110,9.546909,0.663614,5.552559,0.201026,0.119843,0.194569,8.606426,0.114051,1.174417,0.173130,0.343275,0.195418,0.139647,0.218833,1.165365
111,9.636109,0.643470,5.598229,0.200534,0.121000,0.194988,8.817906,0.114095,1.204815,0.172920,0.364680,0.201583,0.130655,0.221538,1.163185
112,9.559207,0.630600,5.519265,0.199933,0.119320,0.194048,8.884395,0.112020,1.185092,0.175687,0.377871,0.206562,0.127416,0.213976,1.175704
113,9.627609,0.638334,5.541411,0.198602,0.122527,0.195755,9.012208,0.110940,1.168990,0.188189,0.354480,0.197220,0.152490,0.183926,1.225819
114,9.555424,0.638605,5.510196,0.198486,0.120158,0.194226,8.892609,0.108847,1.145697,0.167430,0.348835,0.195343,0.128862,0.228728,1.144388
115,9.485746,0.630026,5.547392,0.198768,0.120188,0.194172,8.565741,0.108317,1.145712,0.179802,0.361932,0.199313,0.132682,0.180010,1.211581
116,9.566336,0.637541,5.442935,0.196905,0.120017,0.193712,9.173183,0.107248,1.146676,0.176575,0.359459,0.199762,0.139776,0.189225,1.203036
117,9.568996,0.602104,5.512958,0.199539,0.121212,0.194810,9.032976,0.111105,1.176674,0.175698,0.361586,0.201728,0.132602,0.209764,1.178331
118,9.634434,0.612690,5.504471,0.196901,0.120743,0.194530,9.260422,0.110739,1.188442,0.172773,0.365270,0.199607,0.125506,0.192960,1.188052
119,9.610167,0.541917,5.676911,0.201218,0.121714,0.195785,8.788705,0.117086,1.244033,0.183445,0.361395,0.200308,0.142339,0.156343,1.244877
120,9.519081,0.602482,5.471061,0.196682,0.121295,0.195232,9.042610,0.104146,1.146960,0.187915,0.379736,0.203959,0.149063,0.196843,1.217645
121,9.635077,0.648184,5.466362,0.195371,0.120500,0.194242,9.300100,0.105415,1.093033,0.183575,0.366689,0.199319,0.145305,0.199588,1.204303
122,9.576981,0.572759,5.575224,0.198475,0.120429,0.194026,8.955565,0.112244,1.164220,0.180043,0.369323,0.201161,0.134154,0.227954,1.166794
123,9.542738,0.586831,5.572795,0.200270,0.120431,0.194586,8.803267,0.108856,1.143881,0.182760,0.369381,0.201453,0.138997,0.203623,1.196847
