epoch,g_total,g_adv,g_recon,g_fm,g_tv,g_lap,g_ms,d_loss,val_l1,val_edge,val_ssim,val_score
92,10.387919,1.183569,5.131655,0.215946,0.124617,0.204468,8.088284,1.315746,0.198412,0.346963,0.180058,1.139790
93,10.314278,1.108066,5.182856,0.218413,0.123845,0.203277,7.925424,1.281978,0.190970,0.357454,0.161244,1.154835
94,10.127487,0.983735,5.170644,0.213305,0.123232,0.202160,7.846125,1.272950,0.189035,0.339125,0.152214,1.155514
95,9.984645,0.893349,5.152963,0.210899,0.121307,0.200634,7.782551,1.372373,0.209518,0.358250,0.147033,1.187872
96,10.227100,1.105850,5.165013,0.213009,0.123595,0.202693,7.798469,1.329225,0.204752,0.360597,0.097538,1.233422
97,9.929302,0.908124,5.086292,0.209559,0.118862,0.199523,7.794286,1.392432,0.199594,0.336943,0.182729,1.134795
98,9.908525,0.849764,5.157688,0.208712,0.121609,0.200975,7.699257,1.325593,0.178142,0.348095,0.221969,1.078006
99,9.891967,0.805897,5.184423,0.204694,0.123476,0.201508,7.743654,1.357952,0.212421,0.354919,0.158410,1.178232
100,10.153952,1.077262,5.132349,0.212524,0.120346,0.200145,7.783871,1.259514,0.201890,0.352619,0.156788,1.168518
101,9.819553,0.767123,5.097756,0.203822,0.120519,0.199945,7.913838,1.303942,0.194860,0.360263,0.171812,1.149140
102,9.734936,0.732080,5.068319,0.200577,0.123754,0.202110,7.881520,1.350538,0.207836,0.361323,0.122124,1.212175
103,9.754616,0.726600,5.174927,0.206649,0.122576,0.202009,7.580206,1.455263,0.191936,0.332272,0.251216,1.057015
104,9.932843,0.850492,5.157528,0.205859,0.123537,0.202424,7.791831,1.334340,0.212024,0.350556,0.141798,1.192921
105,9.714537,0.668622,5.090500,0.198788,0.124690,0.203636,7.953554,1.368921,0.190831,0.363744,0.175631,1.142510
106,9.721878,0.716137,5.172872,0.203875,0.122755,0.201802,7.555155,1.278677,0.209651,0.361630,0.203951,1.132270
107,9.840740,0.802889,5.110991,0.204478,0.122747,0.201830,7.816669,1.278023,0.202811,0.363975,0.174146,1.156056
108,9.827773,0.780048,5.172799,0.204985,0.124027,0.202533,7.658585,1.240051,0.201876,0.354494,0.166779,1.159170
109,9.890104,0.907738,5.130624,0.207419,0.122333,0.202008,7.567620,1.212802,0.196083,0.351642,0.077417,1.241741
110,9.791241,0.781692,5.029765,0.199954,0.122572,0.201598,8.020816,1.213083,0.194433,0.363603,0.132206,1.189488
111,9.681611,0.722447,5.072495,0.199419,0.123748,0.202907,7.753887,1.238127,0.222305,0.359296,0.115995,1.232063
112,9.729704,0.736392,5.112373,0.203204,0.122979,0.202411,7.696986,1.247277,0.213903,0.363949,0.146306,1.194979
113,9.630280,0.664693,5.087173,0.197698,0.124978,0.203836,7.744908,1.285550,0.217824,0.357499,0.159181,1.183768
114,9.590956,0.658586,5.058756,0.197939,0.123328,0.202767,7.734319,1.242640,0.205082,0.357319,0.145763,1.184381
115,9.607292,0.656058,5.054587,0.195848,0.123655,0.202997,7.822769,1.237390,0.206675,0.366878,0.171943,1.163139
