epoch,g_total,g_adv,g_recon,g_fm,g_tv,g_lap,g_ms,g_stats,g_texstats,d_loss,val_l1,val_edge,val_lap,val_stats,val_texstats,val_ssim,val_score
63,11.357135,1.951853,5.987016,0.246440,0.124122,0.204381,8.095272,0.197338,0.065350,0.922234,0.161012,0.323152,0.212063,0.173874,0.091009,0.222572,1.180253
64,11.484949,1.814400,5.932158,0.248608,0.123357,0.206763,9.143597,0.196688,0.065059,0.850731,0.187867,0.340947,0.203555,0.216938,0.053900,0.194800,1.237334
65,11.310781,1.949260,5.905281,0.242057,0.120742,0.200827,8.283892,0.190591,0.066910,0.895020,0.173319,0.371733,0.221386,0.165319,0.071740,0.226628,1.184424
66,11.492323,1.979584,5.840974,0.246247,0.122395,0.204735,8.970631,0.187620,0.067121,0.884038,0.173506,0.328060,0.190187,0.204864,0.076218,0.182429,1.236321
67,11.158329,1.838731,5.857922,0.237915,0.120156,0.199060,8.326498,0.190719,0.068435,1.031789,0.177075,0.322750,0.188640,0.217589,0.073216,0.236802,1.188932
68,11.390431,1.944246,5.838161,0.243765,0.120832,0.200460,8.791912,0.189082,0.065915,0.986759,0.174477,0.329467,0.195742,0.203220,0.066190,0.182032,1.232827
69,11.076138,1.631340,5.826729,0.234263,0.118773,0.196014,8.901750,0.188146,0.065474,1.115659,0.184148,0.325310,0.186361,0.218515,0.058652,0.186751,1.238468
70,11.081360,1.643469,5.931045,0.238132,0.118199,0.196382,8.471540,0.196828,0.067552,0.997748,0.189227,0.344715,0.198916,0.214358,0.055895,0.169051,1.263908
71,11.325022,2.020531,5.892431,0.240733,0.119537,0.197261,8.178547,0.187466,0.065407,0.861406,0.162470,0.330761,0.196284,0.186278,0.069212,0.212949,1.183446
72,11.402628,1.892999,5.874763,0.238982,0.121064,0.197894,8.905855,0.190351,0.068143,0.921235,0.177908,0.332447,0.212472,0.194731,0.057323,0.264128,1.149258
73,11.379845,2.019136,5.789823,0.239920,0.121405,0.201233,8.693007,0.185932,0.066378,0.792808,0.175664,0.350154,0.204929,0.188074,0.052190,0.193978,1.212540
74,11.548162,2.202988,5.880742,0.247619,0.120142,0.200743,8.252769,0.197334,0.068955,0.938968,0.183997,0.337449,0.200098,0.223936,0.054952,0.143455,1.287495
75,11.327945,1.885957,5.839628,0.234135,0.119856,0.199555,8.851574,0.185980,0.061809,0.963132,0.165777,0.344822,0.204627,0.163924,0.053620,0.236838,1.147478
76,12.071190,2.813981,5.760688,0.253704,0.124730,0.207768,8.359632,0.179798,0.067463,0.378373,0.169554,0.339905,0.201250,0.168988,0.053261,0.262056,1.126744
77,11.406738,2.098241,5.880207,0.244477,0.123034,0.204241,8.150164,0.192576,0.067572,0.802323,0.184065,0.327566,0.197009,0.227099,0.068342,0.189560,1.247947
78,12.219944,2.527914,5.830787,0.248399,0.124153,0.205741,9.589077,0.185774,0.067921,0.406306,0.196675,0.362149,0.211535,0.223822,0.067334,0.178309,1.279036
79,11.268372,1.943401,5.842982,0.231178,0.121929,0.199440,8.441839,0.189624,0.064439,0.855207,0.169840,0.339918,0.197497,0.185853,0.052647,0.198223,1.198134
80,11.373806,2.045513,5.793583,0.233523,0.119897,0.197059,8.677205,0.176672,0.061362,1.023088,0.169194,0.337126,0.197366,0.162378,0.058909,0.245822,1.141065
81,11.103814,1.829856,5.778411,0.235907,0.115980,0.194678,8.487582,0.188706,0.066824,0.845795,0.165963,0.337217,0.194126,0.172628,0.058860,0.254794,1.133263
82,10.997567,1.631553,5.841427,0.228543,0.116378,0.193094,8.635876,0.190183,0.063073,0.986749,0.187289,0.365786,0.204042,0.200475,0.065644,0.176795,1.257566
83,10.993878,1.831025,5.744920,0.230489,0.117891,0.195929,8.270912,0.180971,0.068492,0.935721,0.181400,0.344127,0.196011,0.185511,0.045930,0.217064,1.187418
84,11.034225,1.853951,5.820345,0.229298,0.116800,0.194023,8.074897,0.189463,0.064871,0.938206,0.205844,0.334493,0.193062,0.270379,0.060718,0.240675,1.236435
85,11.218513,1.746352,5.904490,0.229384,0.116733,0.196043,8.732598,0.193625,0.067581,0.860714,0.164903,0.341959,0.199187,0.165630,0.067215,0.281009,1.109051
86,10.888347,1.804690,5.712536,0.223252,0.118284,0.194614,8.190499,0.175806,0.064213,0.915142,0.172302,0.345365,0.196316,0.181982,0.053204,0.225753,1.172158
87,10.821228,1.570085,5.810076,0.224217,0.117815,0.193685,8.395466,0.185301,0.062289,0.978077,0.178495,0.352279,0.204325,0.197304,0.062696,0.216684,1.203308
88,11.377258,1.878371,5.854388,0.228423,0.120489,0.196072,9.034224,0.184902,0.063975,0.729173,0.162331,0.339001,0.198707,0.157178,0.048838,0.271847,1.100670
89,11.547449,2.394831,5.722096,0.234534,0.117762,0.196477,8.320562,0.177618,0.063015,0.636734,0.187639,0.346199,0.208237,0.223671,0.054078,0.197417,1.239928
90,10.876097,1.667196,5.818221,0.222394,0.118808,0.195738,8.246225,0.181218,0.060573,0.891501,0.179959,0.348557,0.205797,0.201163,0.051572,0.173005,1.243916
91,10.916517,1.607962,5.820204,0.223027,0.119471,0.197365,8.543671,0.184143,0.062235,0.974003,0.178386,0.352997,0.203578,0.191605,0.054430,0.158420,1.254031
92,10.928965,1.876345,5.678405,0.225342,0.118629,0.196118,8.199909,0.171444,0.063806,0.825392,0.190404,0.346036,0.196865,0.225386,0.057241,0.182421,1.257756
93,10.891912,1.651388,5.822220,0.221215,0.121360,0.198119,8.337461,0.181019,0.058605,1.002421,0.176035,0.362794,0.207995,0.184987,0.062890,0.167261,1.246919
94,10.823814,1.644875,5.735961,0.221477,0.118947,0.196272,8.431322,0.176231,0.063368,0.927743,0.179298,0.348544,0.208326,0.200031,0.054877,0.220876,1.197189
95,10.758907,1.458354,5.752663,0.221676,0.117849,0.194598,8.775896,0.180092,0.063148,0.988837,0.187763,0.355524,0.199728,0.207586,0.056147,0.193440,1.236931
96,10.972443,1.750098,5.823840,0.222966,0.119525,0.194375,8.265078,0.182267,0.062594,0.988139,0.170466,0.353755,0.202884,0.153932,0.050461,0.204366,1.179130
97,10.559645,1.425383,5.666074,0.217271,0.120043,0.195763,8.606617,0.161915,0.058535,0.920788,0.183251,0.340078,0.194762,0.209960,0.065073,0.214602,1.213481
98,10.538473,1.332581,5.682960,0.213917,0.117149,0.192920,8.782608,0.170788,0.060740,0.974243,0.179593,0.347979,0.200926,0.191785,0.055085,0.149676,1.262946
99,10.620845,1.490204,5.657471,0.220340,0.120497,0.196000,8.563852,0.170887,0.061404,0.874320,0.185738,0.354787,0.201792,0.197035,0.047524,0.162220,1.256430
100,10.254429,1.286583,5.639735,0.214449,0.119302,0.195717,8.103375,0.170492,0.064482,0.955167,0.166986,0.332848,0.197319,0.164274,0.069236,0.251189,1.139337
101,10.511992,1.216480,5.653494,0.212143,0.119750,0.195802,9.185302,0.167948,0.059829,1.048479,0.182586,0.355627,0.208524,0.197098,0.055974,0.140670,1.281139
102,10.422352,1.307298,5.639804,0.214355,0.119060,0.195791,8.616373,0.168582,0.059913,0.942045,0.190705,0.357679,0.203378,0.213257,0.049370,0.173479,1.260133
103,10.528619,1.354088,5.622983,0.213119,0.119892,0.196534,8.875010,0.166882,0.061022,0.944078,0.178947,0.351275,0.201464,0.191046,0.060098,0.221744,1.193333
104,10.489868,1.228480,5.654139,0.211673,0.120481,0.196127,9.099193,0.162000,0.057471,0.979323,0.179343,0.340686,0.197139,0.197617,0.058748,0.194798,1.220359
105,10.322121,1.211277,5.565780,0.208237,0.119355,0.195017,8.941278,0.156584,0.055719,1.022515,0.174960,0.340717,0.201726,0.186865,0.062618,0.239773,1.168768
106,10.598631,1.393601,5.695689,0.216493,0.122224,0.197391,8.726218,0.166682,0.056742,0.921755,0.180057,0.346000,0.202949,0.204251,0.053809,0.241722,1.176984
107,9.976294,0.947761,5.622856,0.208694,0.119333,0.196286,8.418435,0.167471,0.058624,1.057108,0.168172,0.346385,0.201869,0.176307,0.060218,0.210669,1.185537
108,10.050694,1.047578,5.551627,0.206335,0.120692,0.196363,8.606789,0.158800,0.060553,1.059731,0.189441,0.352204,0.201356,0.215417,0.058611,0.193279,1.243802
109,10.217600,1.085813,5.642632,0.209225,0.121362,0.196728,8.713195,0.161471,0.058309,1.061987,0.191364,0.340502,0.199815,0.231168,0.063579,0.154440,1.292726
110,10.047054,1.016324,5.521284,0.206878,0.121298,0.196401,8.806524,0.157095,0.059442,1.070365,0.178572,0.343006,0.199413,0.190446,0.068563,0.159653,1.257463
111,10.028975,0.987670,5.455404,0.205004,0.120491,0.195795,9.118958,0.146227,0.058041,1.066002,0.190296,0.353577,0.199695,0.222455,0.063385,0.164981,1.278982
112,9.945664,1.002857,5.493710,0.205020,0.118587,0.193824,8.653490,0.151902,0.058046,0.970655,0.189123,0.365519,0.207001,0.209112,0.070871,0.112194,1.331797
113,9.869362,0.813246,5.468667,0.202487,0.121310,0.196253,9.123774,0.146762,0.060442,1.129436,0.196162,0.344152,0.196813,0.231009,0.049886,0.124825,1.319526
