epoch,g_total,g_adv,g_recon,g_fm,g_tv,g_lap,g_ms,g_stats,d_loss,val_l1,val_edge,val_lap,val_stats,val_ssim,val_score
60,8.983053,1.001422,5.178017,0.222610,0.117264,0.196168,9.905583,0.125447,1.287137,0.202752,0.328123,0.183092,0.169627,0.140391,1.284690
61,8.955473,0.963962,5.192598,0.220303,0.114345,0.193692,9.932604,0.128444,1.300717,0.212348,0.372147,0.205891,0.148512,0.155044,1.282608
62,9.042706,0.964257,5.343641,0.227775,0.122908,0.200623,9.185140,0.134662,1.281731,0.188897,0.342945,0.201767,0.151698,0.147013,1.262021
63,8.789205,0.837188,5.171956,0.228142,0.117931,0.199379,9.535856,0.130864,1.521241,0.188225,0.334613,0.198657,0.171799,0.134457,1.283367
64,8.816264,0.914075,5.172159,0.227638,0.119059,0.199108,9.306765,0.121193,1.223821,0.201827,0.350763,0.192893,0.154102,0.149892,1.272417
65,9.031145,0.920695,5.268929,0.224837,0.118510,0.200474,9.927100,0.138037,1.616419,0.196358,0.347686,0.192156,0.141618,0.140738,1.267774
66,8.722675,0.848510,5.138673,0.224677,0.114459,0.194676,9.412863,0.127767,1.391825,0.208003,0.334030,0.184142,0.164467,0.165949,1.262783
67,8.866836,0.845471,5.249379,0.225714,0.115948,0.195983,9.642756,0.124709,1.391707,0.190825,0.344404,0.190694,0.148028,0.170403,1.235327
68,8.818892,0.846279,5.219505,0.228749,0.119129,0.198323,9.364452,0.130461,1.446529,0.207779,0.360671,0.195851,0.157358,0.131561,1.301523
69,8.871589,0.926881,5.256028,0.226210,0.119343,0.196489,9.055862,0.126082,1.327502,0.197747,0.327415,0.184646,0.175272,0.151931,1.271857
70,8.958558,0.918382,5.188574,0.221621,0.118411,0.196825,10.192738,0.129925,1.395981,0.203773,0.357163,0.191981,0.155874,0.143959,1.282365
71,8.684652,0.837555,5.159821,0.215141,0.115929,0.195151,9.336796,0.121067,1.279403,0.213791,0.359134,0.193738,0.164943,0.130910,1.311795
72,8.973059,0.898973,5.328940,0.219700,0.120762,0.197461,9.476404,0.133609,1.389291,0.186929,0.340513,0.189950,0.138345,0.154361,1.240662
73,8.881140,0.864379,5.271491,0.216458,0.116289,0.194238,9.634368,0.129344,1.485322,0.190298,0.356117,0.191996,0.141667,0.168466,1.235654
74,8.688864,0.851120,5.201455,0.210267,0.118022,0.194644,9.139956,0.117004,1.266003,0.210459,0.401567,0.203916,0.147564,0.139562,1.300925
75,8.811032,0.812210,5.263762,0.216105,0.121050,0.198971,9.581442,0.120264,1.380047,0.195548,0.356842,0.193491,0.138682,0.138423,1.269750
76,8.659364,0.783808,5.175452,0.213374,0.118903,0.196959,9.385496,0.125636,1.469398,0.179245,0.350880,0.195183,0.136850,0.158548,1.231538
77,8.643394,0.757410,5.220723,0.213271,0.119730,0.196852,9.213699,0.119541,1.362983,0.191948,0.345610,0.188630,0.135521,0.155876,1.243096
78,8.758474,0.775798,5.183762,0.219611,0.116799,0.196222,9.884769,0.130663,1.412503,0.194425,0.353557,0.195908,0.144707,0.176116,1.234617
79,8.693453,0.768694,5.257343,0.214842,0.119731,0.197243,9.160574,0.122734,1.465551,0.183165,0.365092,0.202205,0.131246,0.151828,1.243765
80,8.658545,0.737677,5.202684,0.211187,0.119423,0.197802,9.523190,0.127026,1.525764,0.216564,0.348804,0.193605,0.155878,0.177320,1.260613
81,8.721376,0.757090,5.135789,0.209318,0.118410,0.197406,10.327802,0.124320,1.409523,0.192908,0.336102,0.188577,0.159989,0.176248,1.236446
82,8.613569,0.707570,5.206163,0.208504,0.118917,0.197887,9.483416,0.123796,1.444595,0.184144,0.355739,0.198679,0.144168,0.158627,1.242769
83,8.691648,0.778919,5.198653,0.209397,0.123773,0.199474,9.560326,0.120988,1.377879,0.191399,0.386506,0.205894,0.134414,0.168276,1.242841
84,8.567031,0.641889,5.248096,0.211005,0.120293,0.197227,9.315465,0.121255,1.445555,0.198941,0.368502,0.196310,0.125709,0.132216,1.274744
85,8.542147,0.726293,5.112344,0.206484,0.118531,0.196551,9.657946,0.114348,1.287679,0.193601,0.360229,0.195869,0.131449,0.165797,1.237479
86,8.604355,0.715561,5.211910,0.206903,0.122528,0.199243,9.373640,0.120191,1.345701,0.190132,0.364743,0.199132,0.133428,0.165301,1.237577
87,8.678863,0.779274,5.142904,0.206720,0.118396,0.196942,9.932638,0.121726,1.340062,0.177816,0.343491,0.192132,0.134228,0.206879,1.177812
88,8.594337,0.716983,5.187321,0.204496,0.119847,0.197146,9.567839,0.117588,1.321023,0.177223,0.356016,0.195408,0.126854,0.160433,1.222728
89,8.547668,0.716288,5.161665,0.203318,0.121469,0.197822,9.446445,0.117413,1.280978,0.195599,0.349322,0.193077,0.141687,0.180372,1.228026
90,8.566573,0.729693,5.113061,0.202674,0.120807,0.198399,9.807508,0.117777,1.303813,0.191481,0.386261,0.203259,0.129852,0.137870,1.269751
91,8.763766,0.760496,5.266972,0.209480,0.122348,0.199774,9.650133,0.126580,1.405305,0.187567,0.360812,0.196120,0.125582,0.161874,1.232041
92,8.543013,0.751460,5.057124,0.202729,0.117740,0.196360,9.882187,0.120798,1.280315,0.180083,0.341462,0.193491,0.132297,0.129262,1.256539
93,8.510213,0.760860,5.051405,0.200955,0.119687,0.197532,9.749161,0.110743,1.173555,0.189308,0.373466,0.202636,0.130414,0.165820,1.237220
