epoch,g_total,g_adv,g_recon,d_loss,val_l1,val_edge,val_ssim,val_score
109,5.164707,0.373215,4.791492,1.660865,0.172072,0.339895,0.141461,1.149575
110,5.158625,0.426655,4.731970,1.611312,0.176130,0.351261,0.145701,1.153370
111,5.119352,0.409192,4.710161,1.573348,0.175601,0.346579,0.138694,1.158210
112,5.132318,0.421295,4.711024,1.603219,0.180958,0.367330,0.146541,1.162983
113,5.127081,0.383771,4.743310,1.656024,0.177371,0.350681,0.143014,1.157094
114,5.137439,0.389138,4.748302,1.629684,0.170969,0.337852,0.148333,1.140884
115,5.115690,0.467210,4.648479,1.552846,0.177172,0.353874,0.144429,1.156599
116,5.113464,0.414604,4.698860,1.578324,0.172219,0.337922,0.145600,1.144892
117,5.093437,0.379542,4.713894,1.589826,0.175256,0.349272,0.150878,1.146623
118,5.096328,0.420164,4.676165,1.546018,0.174597,0.349386,0.153121,1.143761
119,5.089519,0.372120,4.717399,1.573115,0.174987,0.349814,0.144272,1.153150
120,5.063174,0.366622,4.696552,1.548994,0.175702,0.355620,0.155148,1.145021
121,5.071843,0.404214,4.667629,1.548376,0.172881,0.344150,0.149021,1.144313
122,5.062535,0.366475,4.696060,1.596375,0.175816,0.353022,0.147823,1.151551
123,5.104398,0.406907,4.697491,1.554714,0.172561,0.346335,0.156432,1.137346
124,5.014498,0.351799,4.662699,1.537277,0.171801,0.342511,0.150375,1.141304
125,5.043830,0.345154,4.698676,1.566931,0.174460,0.349846,0.146657,1.150249
126,5.062527,0.385213,4.677314,1.538513,0.174075,0.348047,0.151204,1.144687
127,5.039182,0.394803,4.644380,1.497954,0.174268,0.350158,0.150724,1.146100
128,5.058442,0.354769,4.703673,1.549560,0.174726,0.350691,0.148471,1.148997
129,5.055858,0.376920,4.678937,1.527089,0.173398,0.346605,0.152980,1.141729
130,5.032182,0.355297,4.676885,1.529969,0.173045,0.345898,0.150958,1.143151
131,5.049889,0.342343,4.707545,1.554679,0.173997,0.348978,0.154708,1.141431
132,5.049276,0.400436,4.648840,1.492162,0.172770,0.344571,0.149347,1.144023
133,5.028930,0.373569,4.655360,1.504672,0.173234,0.347093,0.148407,1.146309
134,5.022730,0.332606,4.690124,1.543995,0.171969,0.348035,0.159068,1.134714
135,5.036658,0.373441,4.663218,1.511604,0.171853,0.345694,0.154533,1.138312
136,5.021873,0.349818,4.672054,1.527837,0.170923,0.345507,0.160782,1.131068
137,5.048136,0.374648,4.673488,1.519056,0.172602,0.347246,0.154598,1.139541
138,5.036000,0.374240,4.661760,1.503437,0.173839,0.348323,0.150381,1.145371
139,5.040505,0.376022,4.664484,1.501354,0.172925,0.347879,0.150749,1.143933
140,5.038190,0.365441,4.672749,1.507874,0.172796,0.346456,0.154788,1.139267
