epoch,g_total,g_adv,g_recon,g_fm,g_tv,g_lap,g_ms,g_stats,g_texstats,d_loss,val_l1,val_edge,val_lap,val_stats,val_texstats,val_ssim,val_score
57,10.065749,0.869080,5.595548,0.206273,0.121374,0.194767,9.094669,0.153963,0.071457,1.398562,0.167119,0.362476,0.200222,0.162289,0.053360,0.190885,1.196021
58,10.249066,1.075206,5.514494,0.206869,0.124125,0.197234,9.325291,0.146378,0.063576,1.280184,0.171262,0.351921,0.195702,0.187093,0.051228,0.206602,1.192783
59,10.228783,1.032425,5.545511,0.209916,0.122496,0.196072,9.264947,0.153722,0.062663,1.327659,0.170892,0.327727,0.187626,0.213634,0.067537,0.199593,1.215530
60,10.057201,0.837670,5.562730,0.205699,0.120796,0.193702,9.253729,0.156991,0.078693,1.444955,0.183424,0.375606,0.200218,0.186653,0.064668,0.147042,1.276933
61,9.896794,0.762568,5.505365,0.200055,0.121717,0.194226,9.280840,0.144189,0.064150,1.389420,0.192017,0.396969,0.206475,0.205851,0.093367,0.157216,1.305957
62,10.112702,0.942868,5.469969,0.206233,0.121075,0.194033,9.464003,0.150252,0.064720,1.309804,0.189835,0.390095,0.210199,0.207533,0.088078,0.205033,1.253472
63,10.068350,0.960379,5.491542,0.202006,0.121869,0.194908,9.228518,0.144531,0.063050,1.288438,0.190340,0.345965,0.192818,0.218943,0.054965,0.229306,1.205430
64,10.034041,0.848453,5.502578,0.204085,0.121155,0.193920,9.408285,0.147259,0.071244,1.368592,0.158290,0.330626,0.193648,0.169885,0.068082,0.200157,1.182636
65,10.064547,0.902693,5.443060,0.200401,0.122372,0.194693,9.540302,0.149996,0.068474,1.325105,0.170306,0.367040,0.198800,0.162647,0.061671,0.172470,1.222882
66,9.975533,0.876338,5.420191,0.199598,0.120043,0.193458,9.472994,0.140387,0.063087,1.331111,0.179173,0.360537,0.196724,0.200228,0.062941,0.172242,1.249839
67,9.929350,0.845240,5.356480,0.198527,0.119433,0.192016,9.651396,0.137793,0.064967,1.216485,0.161201,0.338830,0.195897,0.163343,0.057226,0.238335,1.140100
