epoch,g_total,g_adv,g_recon,g_fm,g_tv,d_loss,val_l1,val_edge,val_ssim,val_score
81,7.159520,1.468268,4.847102,0.208521,0.125837,1.008721,0.183565,0.361881,0.166336,1.143888
82,6.824900,1.204782,4.817224,0.198233,0.124541,1.052998,0.180104,0.356055,0.166973,1.137750
83,6.997569,1.403094,4.762615,0.205513,0.122585,1.022807,0.190447,0.390583,0.162773,1.164378
84,7.039801,1.395186,4.825257,0.202322,0.125888,0.948678,0.182240,0.364532,0.176296,1.133531
85,7.213586,1.652577,4.709904,0.210308,0.123401,0.942254,0.180758,0.353292,0.148209,1.156202
86,6.745010,1.161149,4.797003,0.194202,0.125640,1.045165,0.188700,0.358787,0.140465,1.173810
87,7.007782,1.375957,4.828993,0.198193,0.125728,1.053366,0.184372,0.345113,0.145037,1.160125
88,7.302911,1.666828,4.796413,0.207433,0.124209,0.815604,0.191068,0.355523,0.178780,1.136722
89,6.946835,1.359496,4.766292,0.202762,0.124967,0.904500,0.187461,0.360218,0.175359,1.138179
90,7.051324,1.514814,4.723835,0.200665,0.125216,0.928845,0.184954,0.360643,0.162093,1.149086
91,6.887435,1.258914,4.830665,0.196917,0.127346,0.993922,0.175163,0.352126,0.180199,1.118208
92,6.908000,1.414255,4.681837,0.200493,0.124230,0.876075,0.167449,0.345941,0.181528,1.107000
93,6.619869,1.144075,4.700232,0.191358,0.126634,0.935575,0.188428,0.368717,0.161953,1.155526
94,6.701021,1.234079,4.682604,0.193566,0.125929,0.993864,0.179478,0.364214,0.197146,1.109807
95,6.953207,1.467084,4.680415,0.198948,0.123946,0.951550,0.178816,0.356265,0.148573,1.154936
96,6.712646,1.256184,4.674856,0.192916,0.124274,0.997784,0.175879,0.358921,0.193989,1.107512
97,6.961949,1.472811,4.678617,0.200102,0.126433,0.888978,0.172811,0.348435,0.181352,1.113411
98,6.557490,1.087306,4.701723,0.189569,0.127343,1.016071,0.173722,0.352307,0.177430,1.119600
99,6.683410,1.271852,4.636708,0.191193,0.125955,0.928799,0.174828,0.348978,0.160616,1.136355
100,6.646204,1.189029,4.679012,0.192004,0.126849,1.069031,0.181938,0.372632,0.172340,1.140019
101,6.532425,1.123850,4.645624,0.188212,0.126265,0.978222,0.174193,0.354454,0.176274,1.121977
102,6.400762,1.024041,4.620028,0.186651,0.126085,1.064344,0.183858,0.369085,0.150520,1.162517
103,6.254955,0.927652,4.577059,0.185072,0.124445,1.027627,0.175399,0.362004,0.172537,1.129563
104,6.424385,1.010233,4.659198,0.186174,0.128208,0.964492,0.177873,0.363998,0.179192,1.126080
105,6.360540,1.033486,4.564154,0.188242,0.124140,0.889702,0.172211,0.342634,0.169951,1.122182
