epoch,g_total,g_adv,g_recon,g_fm,g_tv,g_lap,g_ms,d_loss,val_l1,val_edge,val_ssim,val_score
81,9.584377,0.699014,5.651615,0.195815,0.121236,0.194186,8.728124,1.444339,0.189330,0.370896,0.203681,1.115463
82,9.534010,0.750962,5.466786,0.194913,0.118059,0.191583,9.023342,1.321493,0.176652,0.372356,0.175702,1.131275
83,9.502024,0.674876,5.536903,0.190470,0.122465,0.194840,8.938876,1.449692,0.184276,0.359633,0.181019,1.129129
84,9.443569,0.673677,5.483620,0.189138,0.121378,0.193789,8.938459,1.320834,0.174122,0.356776,0.177204,1.121789
85,9.553904,0.681389,5.574913,0.193407,0.120984,0.193432,8.956991,1.439190,0.178886,0.350387,0.176647,1.124875
86,9.551161,0.711446,5.482014,0.190963,0.117923,0.191457,9.181965,1.318133,0.156825,0.332936,0.223932,1.049420
87,9.432832,0.692964,5.484030,0.189686,0.121597,0.194304,8.831513,1.418237,0.174163,0.346533,0.181547,1.113902
88,9.363113,0.681547,5.454219,0.190358,0.120512,0.192854,8.741337,1.254401,0.174333,0.345010,0.246350,1.048736
89,9.429767,0.704046,5.491688,0.191541,0.122018,0.194619,8.747626,1.218218,0.162361,0.337887,0.223371,1.057250
90,9.584536,0.772293,5.439277,0.192799,0.120786,0.193926,9.208937,1.271675,0.159314,0.332896,0.243114,1.032714
91,9.562960,0.716815,5.471540,0.190951,0.121124,0.194595,9.220016,1.291426,0.188401,0.374584,0.185258,1.134248
92,9.545496,0.736163,5.463573,0.189653,0.121889,0.194794,9.128731,1.250898,0.168994,0.340566,0.211249,1.076944
93,9.567963,0.758097,5.393387,0.188315,0.121496,0.194352,9.373679,1.178636,0.183873,0.356950,0.204720,1.104085
94,9.424672,0.691917,5.396496,0.186813,0.121420,0.193747,9.116884,1.224163,0.173166,0.338994,0.209819,1.081996
95,9.473891,0.744892,5.401022,0.187205,0.119860,0.192493,9.094875,1.156058,0.189064,0.358876,0.219158,1.095513
96,9.503851,0.722930,5.394312,0.186611,0.120575,0.193436,9.287981,1.137057,0.179914,0.357865,0.202503,1.102663
97,9.425662,0.750820,5.316987,0.184592,0.120413,0.192422,9.207436,1.103079,0.187901,0.356258,0.210909,1.101682
98,9.463821,0.737293,5.366163,0.183672,0.121274,0.192827,9.217659,1.149324,0.163784,0.341131,0.211585,1.071595
99,9.558939,0.825968,5.331416,0.185271,0.118745,0.191344,9.356489,0.999248,0.167199,0.353612,0.222730,1.068233
100,9.486176,0.801963,5.272674,0.184013,0.119019,0.191864,9.393229,1.021294,0.174469,0.348877,0.202669,1.093908
101,9.497089,0.779180,5.302698,0.185574,0.120517,0.192343,9.394019,1.004399,0.186464,0.356874,0.175647,1.135723
102,9.519953,0.779867,5.273885,0.184412,0.119305,0.192417,9.570437,1.019540,0.182092,0.356247,0.190106,1.116673
103,9.552658,0.819457,5.293733,0.185678,0.121543,0.193371,9.468367,0.971902,0.178626,0.345716,0.173902,1.125724
104,9.468538,0.763474,5.245417,0.183606,0.120272,0.192117,9.553313,0.978492,0.178085,0.355087,0.179589,1.122777
105,9.441276,0.777519,5.268090,0.182847,0.121565,0.193642,9.335136,0.992790,0.175314,0.365961,0.200659,1.102741
106,9.526226,0.856469,5.192711,0.183160,0.118598,0.191178,9.619637,0.939023,0.180217,0.348972,0.192693,1.109664
107,9.416294,0.797219,5.204079,0.182362,0.119763,0.192392,9.409753,0.944175,0.170457,0.340813,0.183267,1.106474
108,9.401867,0.794200,5.185425,0.181851,0.119446,0.191999,9.438679,0.942748,0.183161,0.364598,0.196160,1.114610
109,9.485428,0.789373,5.221853,0.181737,0.121476,0.193267,9.604424,0.913097,0.163742,0.340921,0.218728,1.064336
110,9.472988,0.798348,5.174539,0.180357,0.121347,0.193439,9.696905,0.923400,0.173728,0.353614,0.191730,1.105763
111,9.464172,0.817826,5.119305,0.181556,0.120693,0.192861,9.784142,0.866566,0.165057,0.344898,0.196886,1.088886
112,9.417265,0.796876,5.119923,0.180005,0.119297,0.191858,9.709490,0.896513,0.179842,0.371116,0.194485,1.115247
113,9.422254,0.768085,5.168767,0.179877,0.120993,0.193004,9.652777,0.922763,0.170350,0.352018,0.193375,1.100182
114,9.401708,0.780415,5.115090,0.179253,0.119235,0.191644,9.733494,0.871111,0.187580,0.358442,0.169513,1.143521
115,9.386190,0.762178,5.134839,0.178977,0.121110,0.192817,9.670679,0.899866,0.171549,0.363393,0.191447,1.107289
116,9.399704,0.780066,5.072978,0.178530,0.119052,0.191240,9.874142,0.866643,0.165003,0.348278,0.203798,1.083103
117,9.348462,0.762348,5.126068,0.179725,0.120023,0.191951,9.575085,0.873106,0.168254,0.350395,0.202083,1.088810
118,9.375034,0.779921,5.098213,0.177814,0.120650,0.192199,9.705730,0.842156,0.181005,0.354743,0.199587,1.105579
119,9.314087,0.773338,5.073472,0.178271,0.120063,0.191776,9.607296,0.830831,0.175054,0.357118,0.177777,1.122269
120,9.412760,0.764195,5.109549,0.178829,0.119598,0.191901,9.843402,0.844207,0.177798,0.360408,0.199288,1.104653
121,9.405291,0.798450,5.085168,0.179156,0.119060,0.191276,9.787531,0.800093,0.176739,0.354311,0.201769,1.098979
122,9.370673,0.760843,5.106873,0.179027,0.120456,0.192120,9.720406,0.837330,0.176384,0.354695,0.170737,1.129790
123,9.326662,0.736767,5.089714,0.177469,0.120668,0.192381,9.717461,0.852314,0.170450,0.352350,0.197066,1.096707
124,9.351665,0.773001,5.079349,0.178708,0.118907,0.190777,9.717869,0.809878,0.176154,0.351123,0.170953,1.128095
125,9.336367,0.781198,5.003152,0.176742,0.118141,0.190005,9.907869,0.788932,0.175290,0.355122,0.160217,1.139366
126,9.361641,0.767188,5.042971,0.177819,0.118951,0.190875,9.895676,0.805785,0.171422,0.355691,0.174439,1.121475
127,9.360560,0.754762,5.063007,0.178339,0.119217,0.190981,9.863358,0.815158,0.175350,0.358990,0.200014,1.100982
128,9.346708,0.772142,5.046729,0.177444,0.119648,0.191588,9.814590,0.796628,0.170363,0.353035,0.184628,1.109298
129,9.343828,0.762265,5.057451,0.179009,0.118631,0.190721,9.799530,0.803790,0.173457,0.356513,0.186217,1.112020
130,9.318184,0.737163,5.023014,0.177313,0.118915,0.191165,9.918539,0.812667,0.169257,0.357886,0.160413,1.134104
131,9.358334,0.730150,5.081812,0.178186,0.120252,0.191600,9.872097,0.838278,0.169017,0.354280,0.217171,1.075843
132,9.344864,0.760733,5.035870,0.177715,0.119384,0.191313,9.882914,0.790561,0.165621,0.354632,0.187569,1.102174
133,9.340015,0.761018,4.989149,0.176461,0.118543,0.190788,10.031128,0.786359,0.166535,0.351328,0.189119,1.100381
134,9.328661,0.752395,5.040513,0.177389,0.119625,0.191500,9.841713,0.790095,0.170001,0.357773,0.174575,1.120647
135,9.338719,0.741308,5.084597,0.178682,0.119523,0.191119,9.760776,0.815148,0.165763,0.356485,0.182068,1.108465
136,9.283300,0.719979,5.056269,0.177804,0.119451,0.190941,9.746903,0.819055,0.179343,0.358346,0.169463,1.135301
137,9.297539,0.736199,5.069661,0.177520,0.119340,0.191444,9.694660,0.809041,0.178242,0.355939,0.193972,1.108849
138,9.289595,0.757046,5.030077,0.176808,0.118710,0.190458,9.739656,0.791967,0.173320,0.354222,0.168198,1.129099
139,9.308123,0.712867,5.083657,0.178110,0.119363,0.191038,9.760120,0.817961,0.175376,0.358944,0.187411,1.113596
140,9.334955,0.742790,5.094127,0.178913,0.119337,0.191457,9.708832,0.796334,0.168759,0.358727,0.190660,1.103653
